	chr5:179835385-179835474	chr5:179835475-179835534	chr5:179835535-179835684	chr5:179835685-179835834	chr5:179835835-179835984	chr5:179835985-179836054	chr5:179836055-179836134	chr5:179836135-179836284	chr5:179836285-179836434	chr5:179836435-179836584	chr5:179836585-179836734	chr5:179836735-179836884	chr5:179836885-179837034	chr5:179837035-179837184	chr5:179837185-179837334	chr5:179837335-179837484	chr5:179837485-179837634	chr5:179837635-179837784	chr5:179837785-179837934	chr5:179837935-179838084	chr5:179838085-179838234	chr5:179838235-179838384	chr5:179838385-179838534	chr5:179838535-179838684	chr5:179838685-179838834	chr5:179838835-179838984	chr5:179838985-179839134	chr5:179839135-179839284	chr5:179839285-179839434	chr5:179839435-179839584	chr5:179839585-179839734	chr5:179839735-179839884	chr5:179839885-179840034	chr5:179840035-179840184	chr5:179840185-179840334	chr5:179840335-179840484	chr5:179840485-179840634	chr5:179840635-179840784	chr5:179840785-179840934	chr5:179840935-179841084	chr5:179841085-179841234	chr5:179841235-179841384	chr5:179841385-179841534	chr5:179841535-179841684	chr5:179841685-179841834	chr5:179841835-179841984	chr5:179841985-179842134	chr5:179842135-179842284	chr5:179842285-179842434	chr5:179842435-179842584	chr5:179842585-179842734	chr5:179842735-179842884	chr5:179842885-179843034	chr5:179843035-179843184	chr5:179843185-179843334	chr5:179843335-179843372	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0.11026	0.44104	0.11026	0.183794	0.511731	0.022052	0.289433	0.405803	0.279651	0.314385	0.1132	0	0	0.152595	0.181989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0970409	0.207618	0.0186589	0	0	0	0.275862	0	0.220135	0.308737	0.0683621	0	0.318513	0.0323429	0	0.138193	0.214639	0.151196	0.416947	0.162139	0.265442	0.0100249	0	0	0.314666	0.759419	0.256966	0.429501
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.642afba0-6390-4d20-9062-25a6e2cb3e9d.fc.signal	0.237968	0.237371	0.0456139	0	0	0.123131	0.226714	0.27229	0.473535	0.456802	0.510658	0.347416	0.235298	0.804036	0.504089	0.318445	0.385787	0.646186	0.567049	0.923831	0.282468	0.590831	0.894956	0.507311	0.446973	0.102879	0.0261711	0.585461	0.675217	0.517157	0.810881	1.27677	0.817803	0.428269	0.348231	0.261873	0.0560912	0.745147	0.64865	0.70186	0.581528	0.679595	0.250199	0.425129	0.633326	0.982995	0.60908	0.354043	0.331869	0.442767	0.280343	0.497437	0.327334	0.213015	0	0.157266	0.906433
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000152.3.44e2eb71-a355-4ddb-907d-128d4b46c83d.fc.signal	0	0	0	0	0	0	0.242369	0.784977	1.76514	0.223397	0.0484319	0.4213	0.0636523	0.014528	0.503008	0.620314	0.481316	0.286078	0.122905	0.153556	0.32411	0	0	0.179206	1.28102	1.91559	0.531813	0.26734	0.673856	0.079904	0.410749	0.580101	0	0	0	0.0675694	0.437981	0.0464259	0	0	0.0986693	0.21839	0	0.660018	0.530906	0.0910718	0	0	0	0	0	0.708066	0.943155	0.163334	0.278125	0.556706	0.643165
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001517.1.cb67fdb1-74f3-48c8-aeff-9cfba1ceca46.fc.signal	0	0	0	0	0	0	0.546715	0.913256	0.00550153	0.306499	1.03168	0.0818635	0	0	0.299229	0.0633181	1.18283	0.421126	0.312198	0.528147	0	0	0.423618	0.78672	0	0.544749	0	0	0	0.758962	0.53074	1.10903	1.56044	0.493469	0	0.274057	0.416445	0.643681	1.51293	0.792224	1.02329	0	0	0	0.35034	0.149203	0	0.157462	0.529871	0.187052	0	0	0	0.138472	0.718944	0.629781	0.695402
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.f19e0b8f-152f-42de-82db-a8afb7688356.fc.signal	0	0	0.0139112	0.253959	0	0	0	0	0	0.060796	0.162768	0	0.222332	0.198083	0.16379	0.0942556	0.13242	0.308819	0.439319	0.30845	0.00239987	0	0.138586	0.154398	0.255123	0.0323979	0	0	0	0	0	0	0	0	0.188224	0.0782607	0.141949	0.182095	0.102459	0	0.235253	0.219278	0.41715	0.0547819	0.143437	0.0964679	0.511746	0.325364	0.570657	0.131698	0.240794	0.0535533	0.394238	0.0354008	0.14073	0.0378916	0.201863
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001546.1.37e46e69-fcc7-4b78-84e3-84d20f000766.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0292765	0.447354	0.0734767	0	0	0.0649658	0.545504	0.0482341	0	0	0	0.616685	0.174717	0	0	0.439152	0.356372	0	0	0	0	0.336126	0.10804	0.246889	0.661076	0.357105	0	0	0.505896	0.54373	0.39263	0	0.512676	0.284341	0	0	0	0.0621412	0.621148	0.195869	0.284848
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.299049e5-7348-4021-acb8-2d0e75f38cdf.fc.signal	0	0	0	0.0824427	0.295819	0.163674	0	0.0897176	0.21492	0.174203	0.248972	0	0.133388	0.0904269	0.00842067	0.24171	0.362037	0.135953	0	0.0990804	0.134591	0	0	0	0	0	0	0	0	0	0.12124	0.265353	0.280983	0.240052	0	0	0	0	0	0.160349	0.160042	0.187912	0.279582	0.170728	0.0854643	0.0586783	0	0	0.180752	0.136337	0.0785806	0	0.120028	0.0557704	0.526172	0.212544	0.584071
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e64b57f4-2bfc-4a28-ae9d-fc80cb038d7e.fc.signal	0	0	0	0	0.0107814	0.200211	0.35925	0.494624	0.26947	0.137762	0.140153	0.470603	0.455198	0.29899	0.0411495	0	0	0	0	0	0	0	0.00479173	0.558138	0.395252	0.0203649	0.292214	0.319759	0.742547	0.528169	0.0131773	0	0.0858073	0.319595	0.642691	0.174365	0	0.164807	0.0590381	0.177444	0.267076	0.432328	0.276201	0.0143752	0.017969	0.247838	0.152923	0.450339	0.651512	0.193771	0.13896	0.0311463	0.301791	0.143189	0.00598967	0.255294	0.965517
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.24f592c8-8c69-4c91-ba18-ad0c533ddaf8.fc.signal	0	0	0	0.707784	0	0	0	0.526593	3.26358	2.04684	0.729593	2.89604	0.794012	0.804702	1.63703	1.68855	2.4099	2.14333	5.17436	4.92653	2.26352	1.27857	0.500504	1.39031	1.6944	0.565069	0.454266	0.492606	0.431101	0.817085	1.39072	2.14445	0.767313	0.596561	0.303336	0.568869	1.35881	0.985842	1.23001	3.49479	0.328617	0.0404448	2.23468	2.99068	1.44658	3.31667	1.5784	0.697005	2.49315	0.394346	0.774943	0.556116	0	0	0.871718	1.06548	0.928205
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001378.1.b7155ae3-84c0-47e8-9535-8c807cc3903c.fc.signal	0	0	0.311072	0.207382	0	0	0	0.137919	0.143321	0	0.316833	0.185985	0	0	0	0	0	0.328195	0.026439	0	0	0	0	0	0	0	0	0	0.0806484	0.956158	0	0	0	0	0	0	0	0	0	0.518454	0.622145	0.350747	0	0	0	0	0	0.137483	0.733433	0	0.207371	0.829404	0	0	0	0	0.676136
