	chr4:75554041-75554190	chr4:75554191-75554340	chr4:75554341-75554490	chr4:75554491-75554640	chr4:75554641-75554790	chr4:75554791-75554940	chr4:75554941-75555090	chr4:75555091-75555180	chr4:75555181-75555240	chr4:75555241-75555300	chr4:75555301-75555390	chr4:75555391-75555540	chr4:75555541-75555690	chr4:75555691-75555840	chr4:75555841-75555990	chr4:75555991-75556060	chr4:75556061-75556140	chr4:75556141-75556290	chr4:75556291-75556440	chr4:75556441-75556480	chr4:75556481-75556590	chr4:75556591-75556680	chr4:75556681-75556740	chr4:75556741-75556890	chr4:75556891-75557040	chr4:75557041-75557190	chr4:75557191-75557340	chr4:75557341-75557400	chr4:75557401-75557440	chr4:75557441-75557490	chr4:75557491-75557560	chr4:75557561-75557640	chr4:75557641-75557740	chr4:75557741-75557790	chr4:75557791-75557850	chr4:75557851-75557940	chr4:75557941-75558000	chr4:75558001-75558090	chr4:75558091-75558120	chr4:75558121-75558240	chr4:75558241-75558310	chr4:75558311-75558390	chr4:75558391-75558540	chr4:75558541-75558690	chr4:75558691-75558840	chr4:75558841-75558930	chr4:75558931-75558990	chr4:75558991-75559084	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.0d6e9ac4-1ee5-4f7e-8d0d-48a48250ff2d.fc.signal	0.849	0.319905	0.292317	0.793808	1.58553	1.16264	1.23772	1.43647	0.84335	0.760109	1.93611	3.98515	4.71351	3.19094	3.24896	2.62991	2.28396	2.57889	2.06847	1.36276	0.966239	0.932043	1.11034	0.39486	0.788009	1.30983	2.0084	0.914125	0.419196	0.028061	0.267432	0.584845	1.29476	1.31016	1.00953	0.194263	0.481226	0.851402	0.927287	1.14286	1.03185	0.962964	0.699855	0.397697	0.706362	0.726112	0.714704	0.807282	0.643885
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.a99a5a16-aeda-4bbd-b32c-e69190f2f046.fc.signal	0.0294096	0	0	0	0	0.333887	0.25946	0.0632318	0.355889	1.03992	1.44932	1.59536	1.78544	1.53052	2.97987	1.82834	2.03955	1.35081	0	0	0	0.280085	0.51254	0.65442	1.97965	1.12985	1.11415	1.14664	0.871243	0.608543	0.130472	0.022929	0.381762	0.659467	0.949135	0.754174	0.283643	0	0	0.0442982	0.480079	0.484576	0.0519885	0	0	0	0	0.102061	0.561644
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.53f657c9-ccc3-46a9-8812-1aa30d387b18.fc.signal	1.82707	1.47551	1.49361	0.96463	0.744065	0.934786	0.218751	0.105329	0.922529	1.86031	1.92372	2.63422	3.65679	2.16701	1.72644	1.00277	2.59378	3.78653	2.66198	2.13812	1.46947	0.853559	0.878445	0.974686	0.907045	0.635844	0.475603	1.17197	1.69196	1.91995	1.15197	0.530984	0.837575	0.71998	0.504817	1.08377	0.959204	0.351152	0.04016	0	0	0.0193777	0.73376	0.651179	0.34892	0.272171	0.32209	0.172187	0.54881
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.af2fffce-696b-421a-8732-73b351c68c67.fc.signal	0.0144989	0.354022	0	0	0.449837	0	0.946769	0.133942	2.07961	1.61583	0.400394	0.560958	2.08546	0.36653	0.284508	1.59642	0.485732	0.175275	0.63073	0.0110325	0.437833	0	0.199386	0.301973	0.948821	0.781262	0.0302053	0.469798	0.498081	0	0	0.703431	0.747005	1.4579	1.03273	0.462246	0.856692	3.43821	3.44114	0.486622	0.00767457	0.53812	0.104051	0.513419	0.294845	0.53531	0.133449	0	0.156448
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.9815b17b-4b2f-4371-98fe-9b674b10f52b.fc.signal	1.39453	0.620275	0.596385	0.718965	1.14847	0.671455	1.11429	0.759156	0.65903	0.869757	0.949475	1.01885	2.52206	3.71635	2.516	1.57033	1.78507	3.82502	5.61992	4.98872	5.24883	5.70361	4.84512	3.27703	0.992194	1.89012	1.59902	1.22525	1.09458	1.18165	0.781247	0.822366	0.788872	0.89096	1.0413	1.1634	1.85139	2.30368	3.12064	3.05938	2.9175	2.34079	2.34337	1.67609	1.7613	1.17562	0.981189	0.965921	0.469034
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004884.1.55c580e9-33d1-47be-8555-14db2907a656.fc.signal	0.307082	1.51326	0.771756	0.118452	0.890743	0	0	0	0	0	0.44098	1.47994	1.48269	0.760369	1.65463	1.48246	1.61805	0.907542	0.166248	0	0	0.212532	0.748281	0.20347	0.0713976	0.88199	1.20748	1.78909	0.156189	0.358695	0.676875	1.52494	0.596948	0	0	0	0	0	0	0.507673	0.92147	0.265394	0.791178	2.78054	0.891305	0	0	0	0.562857
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001962.2.d1151f44-0503-431c-bfe2-499fbc35c555.fc.signal	0.477446	0.169287	0.228686	0.170124	0.252107	0.191157	0.24864	0.0840027	0.550913	0.771877	0.807295	1.42811	4.1427	4.11123	4.25659	4.63356	5.11434	4.58313	3.5322	3.85495	3.42782	2.02464	1.36871	0.853296	1.2556	1.10229	0.871571	0.9112	0.859312	0.776618	0.544183	0.46494	0.509442	0.434103	0.44338	0.480394	0.717008	0.894419	0.764343	0.703023	0.635683	0.486938	0.265242	0.515844	0.51083	0.845977	0.698183	0.22712	0.697753
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.6c69236e-c3b7-44e9-b4df-92ecc399b775.fc.signal	0.271527	0	0.175827	0.47017	0.0950066	0.71122	0.905881	0.550458	0.305244	0.439176	0.864249	3.3217	5.65125	6.47854	5.47007	5.53075	5.02493	6.01793	5.44897	3.63113	2.47607	1.18622	0.800778	1.82152	3.23667	1.53775	0.440547	0.391089	0.462221	0.464379	0.739348	0.938988	1.34798	1.10585	0.986986	0.822409	0.600325	0.361002	0.117385	0	0.00778857	0.495853	0.892087	0.700228	0.559369	0.472892	0.695468	0.680731	0.609262
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.9c1223d8-1c7e-48a7-80b8-13425cae848a.fc.signal	0.894802	0.976689	0.33028	0.8152	0.780836	1.52414	0.29665	1.24001	1.85418	1.4844	0.810009	0.804733	0.927619	2.05083	3.35641	2.58157	1.76492	0.393658	0.0544763	0.443874	0.536293	0.105002	0.305461	1.19763	1.72788	0.460101	1.08638	0.930703	0.214778	0	0	0.00715925	0.548397	0.556635	0.161597	0.00774767	0.526127	0.873895	0.588686	0.337592	0.271386	0.0736998	0.271573	0.672595	0.653078	0.788517	0.0509152	0.475252	0.456522
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001963.2.5dfb9b40-6b47-44fd-9ffc-ba05e31611c9.fc.signal	0.507163	0.387288	0.639753	0.633996	0.870603	0.73031	0.679492	0.881249	1.47015	2.54085	3.28432	4.25619	6.90542	6.52047	4.17202	6.9469	8.91687	10.892	10.1578	8.63246	7.53697	6.62836	6.57805	5.33137	2.19788	1.54529	1.39978	1.2128	1.12812	1.00711	1.45906	1.81134	2.39768	2.20202	1.56536	0.700285	0.598919	0.87037	0.930355	0.611565	0.567255	0.764889	1.25326	1.06398	1.33566	0.916639	0.871528	0.503193	0.670166
