	chr2:140232286-140232435	chr2:140232436-140232535	chr2:140232536-140232585	chr2:140232586-140232735	chr2:140232736-140232885	chr2:140232886-140233035	chr2:140233036-140233125	chr2:140233126-140233185	chr2:140233186-140233335	chr2:140233336-140233485	chr2:140233486-140233635	chr2:140233636-140233785	chr2:140233786-140233935	chr2:140233936-140234085	chr2:140234086-140234235	chr2:140234236-140234385	chr2:140234386-140234535	chr2:140234536-140234685	chr2:140234686-140234835	chr2:140234836-140234925	chr2:140234926-140234985	chr2:140234986-140235135	chr2:140235136-140235285	chr2:140235286-140235435	chr2:140235436-140235585	chr2:140235586-140235735	chr2:140235736-140235885	chr2:140235886-140236035	chr2:140236036-140236075	chr2:140236076-140236185	chr2:140236186-140236335	chr2:140236336-140236485	chr2:140236486-140236635	chr2:140236636-140236785	chr2:140236786-140236935	chr2:140236936-140237085	chr2:140237086-140237235	chr2:140237236-140237285	chr2:140237286-140237384	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.174914	0.485575	0.093152	0.0651476	0.938359	1.22391	0.365085	0	0	0	0.306507	0.833902	0.681737	0.432699	0.0783421	0.321236	0.395045	0.169678	0.876054	0.846374	0.0373083	0	0	0	0	0	0	0	0	0.115369	0.423409	0	0	0	0	0.0438231	0.606123	0.520206	0.322228	0.390836
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.85793	0.464357	0.13612	0.138856	0.305066	0.0236016	0	0	0	0	0	0	0	0	0	0	0	0.00907787	0.994093	1.0864	0.428967	0.0254091	0	0	0	0	0	0	0	0	0	0	0	0	0	0.269588	0.823441	0.424818	0	0.483491
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	0.358013	0.341782	0	0.0606645	0.540283	0.01093	0	0	0	0.0172608	0.367799	0.0310688	0.279116	0.158003	0	0.101339	0.513769	0.258789	0.050764	0.567097	0.568292	0.0227316	0	0.104574	0.376661	0	0	0	0	0	0	0.111547	0.449392	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0	0	0	0.488968	0.144155	0.345017	0.370477	0.337433	0.179764	0.431007	0.582299	0.426593	0.140526	0	0.419502	1.40114	0.578381	0.968163	1.00973	1.15547	0.380343	0.574323	0	0.002036	0.484885	0.503478	0.69655	0.76983	0.61099	0.336042	0.362728	0.223379	0.411373	0.450995	0.950823	0.251929	0.284973	1.11837	0.70739	0.225705
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.9dac3370-6335-4df0-bea0-9e684edfa350.fc.signal	0.728598	0.556998	0	0	0	0.0173109	0.64916	0.495521	0	0	0	0	0	0	0	0	0	0	0.630919	1.26574	0.12982	0	0	0	0	0	0	0	0	0.129832	0.496488	0	0	0	0	0.310096	0.172357	0	0	0.591667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.f2b1cfa1-231f-48d8-af6a-ed3f48905f6f.fc.signal	0.437	0.566031	0.36196	0.166488	0	0	0	0.01206	0.336612	0.0446284	0.158048	0.228027	0.310072	0.506722	0.914533	0.719078	1.10394	0.713013	0.645478	0.241269	0.814357	0.687663	0.106128	0.0603192	0.444005	0.652737	0.001206	0.466897	0.624341	0.189174	0	0.23165	0.39934	0.151991	0.317299	0.448796	0.491334	0.144558	0.148804	0.445143
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.b69b018c-be0b-42b3-9bd0-adb684b6c71f.fc.signal	1.18434	0.875376	0.0175376	0	0	0	0	0	0	0	0.113972	0.616596	0	0	0	0	0	0	1.08712	1.69493	0.21922	0	0	0	0	0	0	0	0	0	0.715969	0.0146147	0	0	0	0.455937	1.84982	1.10466	0.526971	0.526012
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.14e2d66e-78ce-42e0-867f-4b49c7b19bff.fc.signal	0.687913	0.909318	0.268243	0.0030916	0	0	0	0	0.00503213	0.761406	0.346924	0.275924	0.760206	1.62148	1.33657	0.133907	0.451405	0.669474	0.35251	0.316907	0.282287	0.579026	0.553934	0.138207	0	0	0	0	0	0	0.16868	0.147912	0	0	0	0.00815947	0.295047	0.743071	1.0331	0.16307
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004641.3.2af65a74-ad9a-47d1-bb59-7449ff40f2d9.fc.signal	1.55481	0.845967	0.768517	0.897552	1.13603	1.67821	1.37356	0.15706	0.068824	0.447377	0.660028	0.445862	0.813069	1.69311	1.22867	0.873381	0.949043	0.817041	0.96941	0.55154	0.375226	0.386083	0.678518	0.284207	0.476603	1.03628	1.05263	0.415801	0.442463	0.593314	0.721157	0.182443	0.197424	0.458397	0.461005	0.51267	0.397366	0.466776	0.481074	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	0.129769	0.226957	0.151206	0.227087	0.218316	0.397312	0.256487	0.210286	0.769242	0.643036	1.30688	1.35598	0.820265	0.338274	1.05837	0.992299	0.281624	0.932431	1.57832	0.486556	0.313441	0.384136	0.4999	0.596431	0.711624	0.69014	0.194539	0.541529	0.673389	0.270335	0	0.0245724	0.999112	0.421931	0.0348116	0.715481	0.545563	0.448039	0.404565	0.987313
