	chr1:27353169-27353318	chr1:27353319-27353468	chr1:27353469-27353618	chr1:27353619-27353768	chr1:27353769-27353918	chr1:27353919-27354068	chr1:27354069-27354218	chr1:27354219-27354368	chr1:27354369-27354518	chr1:27354519-27354668	chr1:27354669-27354818	chr1:27354819-27354968	chr1:27354969-27355118	chr1:27355119-27355268	chr1:27355269-27355418	chr1:27355419-27355568	chr1:27355569-27355718	chr1:27355719-27355868	chr1:27355869-27356018	chr1:27356019-27356168	chr1:27356169-27356318	chr1:27356319-27356468	chr1:27356469-27356618	chr1:27356619-27356768	chr1:27356769-27356918	chr1:27356919-27357068	chr1:27357069-27357218	chr1:27357219-27357368	chr1:27357369-27357518	chr1:27357519-27357598	chr1:27357599-27357668	chr1:27357669-27357748	chr1:27357749-27357818	chr1:27357819-27357968	chr1:27357969-27358118	chr1:27358119-27358245	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.212918	0.152662	0.0528604	0	0.0022744	0.0690703	0.147532	0.344843	0.145067	0.177243	0	0	0	0.145919	0.189341	0.0971683	0.116255	0.0887104	0.131068	0.283123	0.168798	0.0526878	0.0746596	0.105172	0.105935	0.0920732	0.11094	0.253632	0.197095	0.0707226	0.14907	0.161948	0.0689203	0.0894562	0.117072	0.169184	0.646707
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	0.294532	0.252476	0.023955	0	0.130954	0.194834	0.282692	0.630271	0.790496	0.664482	0.174075	0.233036	0.358512	0.434692	0.033537	0.226487	0.364184	0.027149	0.418504	0.464824	0.298671	0.263518	0.086238	0.22358	0.217059	0.118829	0	0.00794967	0.523695	0.462893	0.396568	0.696668	0.899513	0.665241	0.310188	0.478388	0.505297
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	0.104801	0.0674927	0.0958814	0.0387173	0.131048	0.357631	0.243997	0.291769	0.175744	0.0393542	0.0542633	0.231378	0.135866	0.104143	0.0926965	0.249159	0.270528	0.21559	0.304864	0.199721	0.235789	0.174244	0.117726	0.423068	0.779114	0.721253	0.848131	1.44005	1.77818	2.8707	1.65663	1.27149	3.09303	2.05826	1.15134	0.369533	0.55379
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001379.1.3635c35b-bff5-4878-adcc-965cd885b7d1.fc.signal	1.59202	2.80521	1.24779	0.984948	1.50562	0.900648	0.883496	0.520348	0.0797588	0	0.259864	1.05575	1.6078	3.043	3.04488	1.91006	3.69781	6.3832	5.8927	5.29485	6.85612	11.0541	15.817	17.6268	17.9363	23.0205	16.1016	19.767	16.0004	12.3066	9.4869	13.3125	21.6718	21.1755	16.8272	14.5139	0.284746
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.d84c3371-0f00-45de-b4ba-d5df55fdd3fa.fc.signal	3.58746	3.97599	2.1364	2.03299	2.07538	0.0999747	0	0.153711	0.32315	0	0	0	0	1.66494	1.64959	1.5506	1.05007	1.08715	0.570543	1.47264	2.0983	0.846932	1.62495	1.4855	1.73138	4.30596	4.54238	5.3532	6.34348	5.22103	4.15221	4.29097	5.43173	7.38601	2.55741	2.13528	0.398515
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.101922	0.0827489	0.118069	0.200373	0.163146	0.138251	0.0958677	0	0	0.251274	0.075685	0.301729	0.202836	0.141728	0.154776	0.291617	0.121999	0.214285	0.107924	0	0.259376	0.272466	0.0726576	0	0.255307	0.198796	0.0484384	0.346129	0.447038	0.4541	0.581719	1.10517	1.05323	0.222009	0.335028	0.255064	0.71345
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	1.01248	0.763861	1.6311	3.60283	1.30791	1.1431	2.16072	3.21322	0.500545	0	0	0	0.100615	1.402	2.13722	0.763059	0.632247	0.0997858	1.13593	1.70947	1.64628	1.91838	1.40748	2.56722	1.17176	2.64398	3.79966	5.67286	13.9901	12.6222	6.74485	1.53401	2.71439	5.27269	3.83851	1.92339	0.600629
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0.797103	0.624319	0.416214	0.581261	0.828366	0.737634	0.631928	0.326335	0.132538	0.25596	0.456192	0.469519	0.0333383	0.17869	0.289458	0.146396	0.45927	0.376234	0.287043	0.536419	0.348931	0.522528	0.79736	0.603466	0.667376	0.764765	1.07528	0.56356	1.54955	1.52164	0.973999	0.716884	1.36392	1.51821	1.30249	1.07268	0.547734
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	0.0397864	0.0427301	0.0849685	0.0527677	0.0458705	0.108875	0.162552	0	0	0.18091	0.317891	0.662719	0.599658	0.0940231	0.0930247	0	0	0	0	0	0.157758	0.54709	0.28857	0	0.0395096	0.0955659	0.266565	0.605093	1.08993	1.94742	0.947534	1.12198	2.18035	1.27112	1.2739	0.638582	0.538922
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000891.3.5b94d008-4850-4235-a4df-01d74d02137b.fc.signal	0.596929	0.600614	1.1149	1.15411	0.665096	1.13122	2.64012	0.578505	0.44221	0.222017	0.890468	1.07751	2.00944	2.26612	2.94095	0.678133	1.20881	1.0134	1.40081	1.26018	1.72277	2.01458	1.31327	1.56696	1.0741	0.694575	1.21965	1.34309	1.06906	0.568275	0.563644	1.38964	1.29576	1.54654	1.20502	0.975058	0.0672269
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.4d6f1353-0c69-4685-862a-70e4ba9d694d.fc.signal	1.43297	1.87665	1.71132	1.55493	1.73544	1.40054	1.20502	0.704638	0.508033	0.315752	0.422265	0.131506	0.129741	0.0852859	0.674895	2.02861	0.989684	0.778016	1.27664	1.80472	1.50321	2.73792	2.42625	2.33376	1.47829	3.0056	2.27801	2.75478	3.12991	3.09543	1.66588	1.6689	3.42871	3.17875	1.83283	1.96348	0.366972
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001018.4.cebe85ed-98d7-40f0-b727-1c2dfca5020a.fc.signal	2.92469	3.13489	1.75794	1.29121	1.08926	0.857073	1.49962	1.09657	0.756828	0.791708	0.78092	0.570552	0.211557	0.656426	1.63433	2.32024	1.41783	1.41668	1.61226	2.36702	2.36056	2.09054	2.54848	2.91481	2.69787	3.89752	3.97458	4.869	5.02229	3.14172	2.35997	2.12637	3.55672	2.98265	1.84891	1.33311	0.132075
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001966.2.a5362628-573c-4f29-aabc-203a1f7daa08.fc.signal	0.112028	0	0	0	0.0856801	0.169774	0.0849931	0.240482	0	0.0606158	0.305169	0	0	0.104195	0.22802	0.180669	0.0516495	0	0.257095	0.10869	0	0	0	0.166734	0.403148	0	0.638753	0.967921	2.63015	4.65725	3.03847	1.58	1.59801	0.734283	0.705788	1.85119	0.562814
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001458.1.95d5ed16-4642-4ac8-b3c3-c6d52abdacb8.fc.signal	2.91365	7.34916	8.63857	7.7342	8.50873	7.36036	6.49179	3.38693	1.84905	1.27154	1.04542	0.360439	2.07067	6.4783	10.3258	11.3069	12.7642	8.97211	9.92347	8.91247	8.28218	9.78793	10.4346	11.6866	14.7826	11.2823	9.03478	11.9852	13.9887	9.25919	6.63005	7.97043	11.9167	20.3141	17.7763	11.8396	0.131783
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000244.3.e3307280-fd43-48ec-bfea-65dc3dbb16cb.fc.signal	0.336299	0.419501	0.201562	0.376649	0.50255	0.0880621	0.197945	0.621059	0.686455	0.622323	0.858713	1.04186	0.924937	0.713626	0.732975	1.14485	1.98133	2.22072	2.36066	2.03294	1.01335	1.26632	2.51412	4.49112	3.76964	3.02281	4.12474	4.11068	3.07417	2.65771	2.53985	2.37773	2.65694	3.89708	3.65101	2.90239	0.469725
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001471.1.0c91e2e5-1304-4ccf-8240-a439ef5e19fb.fc.signal	0.312172	0	0.173118	0.67047	0.31385	0.582865	0.619053	0.601175	0.413407	0.18993	0	0	0	0.258544	1.00817	0.505961	0	0.530604	1.03535	1.48199	1.47054	0.811238	1.50032	2.66844	2.23073	2.43739	2.28964	3.19447	6.91568	3.74733	0.989191	0.892671	2.18223	2.75374	1.66577	1.22739	0.486486
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003843.4.49e5ea45-59d8-417f-b446-420c07cf032e.fc.signal	0.475618	0.567798	0.802881	0.797211	0.649068	0.394917	1.22572	0.495015	0.376396	0.533512	0.99278	0.759859	0.432048	0.936873	0.331546	1.10991	0.876779	0.895589	0.583651	0.759713	0.774235	0.896986	1.65444	1.4602	0.521968	0.514493	0.711104	0.78597	1.41759	2.42081	1.0074	1.00744	1.32678	1.4879	1.52164	0.634443	0.467105
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003828.3.fa27d843-786a-4e79-8835-42abca97de87.fc.signal	0.434361	0.564555	0.0357094	0.22599	0.761314	0.362422	1.0081	0.580696	0.304138	0.391726	0.150903	0.134776	0.398641	0.526576	0.727031	0.953385	1.52526	2.1127	2.07877	1.76286	1.09694	1.29173	2.89419	3.02553	2.50709	2.40687	2.19601	3.38387	5.98539	8.29113	2.08292	0.4114	2.29118	2.18216	1.08413	0.473579	0.289286
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.69656c3b-1dfd-41af-af20-57e8f19233a1.fc.signal	0.116957	0.423037	0.841764	0.308424	0.0159817	0	0.294472	0.701673	0.811841	0.446706	0.0175205	0.255681	0.168932	0.350033	0.47104	0.734302	0.115476	0	0.349061	0.594323	0.370374	0	0.370381	0.754493	1.54272	1.68539	1.13362	1.64784	2.60751	3.09203	1.79906	0.877451	0.978665	0.827084	1.7387	0.487724	0.582389
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001010.4.77bd98ba-d8dd-4231-a3ba-bd69ef2d4205.fc.signal	0.299508	0.282236	0.406882	0.46851	0.414223	0.662737	0.637112	0.414794	0.41723	0.476959	0.36861	0.118237	0.0902257	0.233276	0.432468	0.284168	0.490649	0.686176	0.976104	1.03792	0.766901	1.12573	1.93761	1.66165	1.9604	1.96215	2.35146	2.06552	3.24021	2.36333	1.29654	1.31882	2.15628	2.4093	1.59099	0.742384	0.116505
