	chr12:98700871-98701020	chr12:98701021-98701170	chr12:98701171-98701320	chr12:98701321-98701470	chr12:98701471-98701620	chr12:98701621-98701770	chr12:98701771-98701920	chr12:98701921-98702070	chr12:98702071-98702220	chr12:98702221-98702370	chr12:98702371-98702520	chr12:98702521-98702670	chr12:98702671-98702820	chr12:98702821-98702970	chr12:98702971-98703120	chr12:98703121-98703270	chr12:98703271-98703420	chr12:98703421-98703570	chr12:98703571-98703720	chr12:98703721-98703870	chr12:98703871-98704020	chr12:98704021-98704170	chr12:98704171-98704320	chr12:98704321-98704470	chr12:98704471-98704620	chr12:98704621-98704770	chr12:98704771-98704920	chr12:98704921-98705070	chr12:98705071-98705220	chr12:98705221-98705370	chr12:98705371-98705520	chr12:98705521-98705670	chr12:98705671-98705820	chr12:98705821-98705970	chr12:98705971-98705999	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0.0067892	0.271979	1.07026	0.920102	0.661674	0.741946	0.373466	0.46648	0.129542	0.46265	0.0296096	0.266486	0.168405	0.127691	0	0.170255	0.421306	0.665421	1.53866	1.18695	0.679358	0.0863825	0.512758	0.944116	1.24379	0.827846	0.295592	0.202892	1.54529	2.73545	1.09604	0.391293	0.37821	0.176643	0.537157	0.530303
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	1.08269	0.574153	0.954773	2.56118	3.47338	2.7525	2.22272	1.46983	0.0360712	2.62769	1.07898	1.21688	1.01539	0.360732	0.853634	0.436642	0.221598	1.47563	1.54456	0.532783	0.749545	0.39906	0.661678	1.0554	0.880259	2.22754	3.17899	2.33486	1.98605	2.46377	3.25081	0.86726	1.1561	0.734285	0.904759	0.566308
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	1.01283	0.484038	0.846221	1.03804	0.797046	1.7118	1.03733	2.46138	0.498114	0.111125	0.244046	0.446532	0.572502	0.260252	0.265419	0	0.293658	1.3109	1.22129	0.23868	0.359402	0.412705	1.20332	1.55732	0.918698	2.24968	0.961164	0.968498	1.20604	1.11053	0.394301	1.1249	0.407285	0.338288	0.468368	0.659367
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.466351	0	0.0805171	1.03651	0.520156	1.17399	0.474376	0.427994	0	0	0	0	0	0	0	0.00336653	0.428371	0.446019	0.460145	0.442112	0.350964	0	0	0.36049	0.831524	0.0986413	0.313794	0.0938679	0.03362	0.297764	0.294475	0.226786	0	0.381696	0.845996	0.70903
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	1.89572	1.39607	0	0	0	1.88912	1.90878	1.44297	1.41056	0.35021	0	0	0	0	0	2.45702	1.19891	0	0	0	0	0	0.90364	0.717665	0	2.19037	3.03861	0.597851	1.80758	1.76015	0	0	0	0.333937	1.99422	0.334951
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.48633	0.844961	0.323804	0	0.297427	1.3973	0.990543	0.141365	0	0.360596	0.566799	0.278649	0	0	0	0.158521	0.764811	0.0730971	0	0.302309	0.067074	0	0.134859	0.210008	0	0	0	0	0.143142	0.331749	0.385401	0.91816	0.564804	0.72771	1.12335	0.658924
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0.0395153	0	0	0.0953259	0.457941	0.862511	0.784116	0.233521	0.34034	0	0	0.112395	0.311702	0.0726525	0.397468	0.473187	0.229073	0.436868	0.705495	0.477078	0.506221	0.527426	0.221652	0	0.0484203	0.319276	0.120685	0.0346932	0.681842	0.488635	0.207997	0.0183657	0.0280497	0.450426	0.286077	0.637105
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.0925871	0.040839	0.58736	0.50109	0.522875	0.850669	0.752609	0.263388	0.0871291	0.244446	0.0926084	0.407497	0.502913	0.173849	0	0	0.459359	2.36948	2.04085	0.9714	0.0326688	0.295014	0.482939	0.93236	1.73396	1.28097	1.47703	0.95778	0.872468	0.990469	0.686305	0.158843	0	0	0	0.753571
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	0.822288	0.378317	0.291265	1.10305	1.02015	0.93439	1.17894	1.11432	0.572104	0.0745443	1.08378	1.30986	1.93473	0.868474	0.120962	0.459794	0.726905	1.0726	0.701771	0.997275	0.98409	1.34075	1.3615	0.812508	0.0769921	0.952798	0.927628	0.940051	0.88214	0.772755	0.715747	0.485894	0.615593	1.25517	0.787016	0.45509
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.70472333-cf93-4f75-9795-a7c0cfbd4b2b.fc.signal	0.29056	0.789899	1.00574	2.17143	1.53556	0.471466	0.973806	1.82849	0.672396	0.248568	0.692236	0.525384	0.518968	0.501869	1.3973	0.599413	1.81157	0.926636	0.652494	1.07584	0.718964	1.04486	2.02901	2.95418	1.80769	1.86055	1.95304	1.89155	0.588327	0.911671	0.399932	0.234209	0.972517	0.585977	0.629348	0.443414
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000704.1.66176b59-ae1e-4572-9837-187809968b90.fc.signal	0	0.120957	1.97281	1.30065	0.944638	0.395281	0.280481	0.405043	0.0218208	0.363485	0.0483705	0	0	0	0.289898	0.0651157	0.147004	0.17748	0.250839	0.333872	0.0662987	0.372887	0.704811	1.20101	1.76804	1.64606	1.07094	0.811187	1.03693	1.84936	0.540488	0.360918	0.245404	0	0	0.539604
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.d6317c97-f6d6-4ceb-8b71-b3b4801f5d92.fc.signal	0	0	0	0	0	0.931218	1.20863	0.0605821	0.511547	0.174932	0	0.296132	1.0879	0.0382624	0	0	0	0.481547	0.242373	0	0.0542051	0.612266	0.229251	0.92463	0.209337	1.00833	0.66398	2.46387	0.970933	1.89472	0.825912	1.0524	0.781335	0.0797133	0.47828	0.698675
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000193.3.aa854cbd-228f-48b3-bc4a-7a1e57daf907.fc.signal	0	0.0667856	2.42099	0.377384	0	0.260448	2.41081	0.0614425	0	0	1.03725	2.34709	0	0.133652	1.77877	1.20799	0	0.875167	0.938375	0	1.60695	1.28087	0	2.10087	1.94953	0.395215	1.23748	1.27298	1.49462	0.408461	3.10508	0.492628	0	0	0	0.488251
