	chr4:65374498-65374647	chr4:65374648-65374717	chr4:65374718-65374797	chr4:65374798-65374947	chr4:65374948-65375037	chr4:65375038-65375097	chr4:65375098-65375247	chr4:65375248-65375327	chr4:65375328-65375397	chr4:65375398-65375477	chr4:65375478-65375547	chr4:65375548-65375697	chr4:65375698-65375757	chr4:65375758-65375847	chr4:65375848-65375997	chr4:65375998-65376147	chr4:65376148-65376207	chr4:65376208-65376297	chr4:65376298-65376447	chr4:65376448-65376537	chr4:65376538-65376597	chr4:65376598-65376747	chr4:65376748-65376897	chr4:65376898-65377047	chr4:65377048-65377197	chr4:65377198-65377257	chr4:65377258-65377347	chr4:65377348-65377497	chr4:65377498-65377597	chr4:65377598-65377617	chr4:65377618-65377647	chr4:65377648-65377757	chr4:65377758-65377797	chr4:65377798-65377947	chr4:65377948-65378047	chr4:65378048-65378097	chr4:65378098-65378247	chr4:65378248-65378307	chr4:65378308-65378397	chr4:65378398-65378477	chr4:65378478-65378547	chr4:65378548-65378697	chr4:65378698-65378757	chr4:65378758-65378847	chr4:65378848-65378997	chr4:65378998-65379107	chr4:65379108-65379147	chr4:65379148-65379297	chr4:65379298-65379357	chr4:65379358-65379447	chr4:65379448-65379477	chr4:65379478-65379563	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.12487572-adf6-40c8-9745-66a141c14768.fc.signal	0	0	0	0	0	0.323495	1.11189	0.514978	0.156975	0.015282	0.378068	0.338595	0.0187833	0.290944	0.320816	0.173005	0	0	0.535522	0.277571	0.583158	0.455929	0.574389	0.0234056	0.196887	0.705399	1.28847	0.911021	0	0	0	0	0	0.731315	1.48816	0.642805	0	0.405081	0.600636	0.361656	0	0.283119	0.82537	0.428592	0.0820199	0	0	0.426373	0.498226	0	0	0	0.658741
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.e56e7efe-813c-4380-b8af-078cacdb962a.fc.signal	1.02569	0.292953	0	0	0	0	0.28616	0.452487	0.22763	0	0.102438	0.342232	0	0.789939	1.56424	0.432488	1.14676	0.802913	0.0699371	0.124381	0.317203	0.443505	0.206729	0.265055	0	0	0	0	0.215114	0.681105	0.665521	0.515795	0.033873	0.331734	0.0880698	0	0.194976	0.307068	0.366613	0.495476	0.726967	1.24254	0.9754	0.395607	0	0.0814827	0.329472	0.778163	0.528419	0.196211	0.219098	0.312056	0.654729
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.afbe02e8-50de-460a-8edc-cfae9d057ff1.fc.signal	1.02959	1.55922	0.772863	0	0	0	0.589848	0.421226	0.715135	0.326333	0.563202	0.751978	0.423001	0.75401	0.85064	0	0	0	0	0.386459	0.653408	0.0646059	0	0	0.350152	0.7612	0.0930356	0	0	0	0	0	0.047196	1.06641	0.06663	0	0	0	0.358	1.29687	1.79486	0.00898893	0	0	0	0	0	0.419103	0.713247	0	0	0.122925	0.639624
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.38d96ded-07f5-41c6-bca5-4d0a649a7511.fc.signal	0.181551	0.0294086	0	0	0	0	0	0	0	0.190737	0.20586	0.14811	0.20586	0.0388847	0	0	0	0	0	0	0	0.291012	0.159534	0.0563533	0.34272	0.061758	0	0	0	0	0	0	0	0	0	0	0.424069	0.432303	0.718275	1.20443	0.744116	0.823502	1.75948	1.14247	0.385264	0.817854	0.591839	0.408975	0.236739	0.027448	0.267618	0.593635	0.393548
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.7114bd47-4fa8-4cc2-a314-a8f63b9a798b.fc.signal	0.572393	0	0	0	0.0302676	0.96821	0.943256	0.557167	0.229274	0.496525	0.654261	0.609221	0.499876	0	0	0	0	0	0.445151	0.280865	0	0	0	0.303775	0.486549	0	0.0382144	0.575565	0.0958788	0	0	0	0	0	0	0	0	0.00764317	0.474185	0.388495	0.0171966	0	0	0	0.397757	1.02931	0.421286	0	0	0	0	0.170432	0.619579
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.74e68fe6-66c5-49bf-a809-80390106feb5.fc.signal	2.21571	0.838358	0.014527	0.453242	0.374474	0	0	0	0.113486	0.551479	0.559177	0.033628	0	0.253022	1.18618	0.70295	0.813452	1.31697	0.886545	0.822353	0.313358	0.210075	0	0.218912	1.4213	1.4463	0.529592	1.05745	1.10973	0.58108	0.0387387	0.459549	1.62728	1.33267	0.58108	0.395134	0.510042	0.0359397	0	0.0126105	1.51314	1.74956	0.871846	0.555366	0.0476168	0.374496	0.479206	0.0259428	0	0	0	0.225813	0.645384
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.7418f6bc-6e40-4cd9-9c59-6013c4a60b00.fc.signal	0.697716	0.0257374	0.18053	0.142867	0.0207182	0.234631	0.629462	0.844248	0.772232	0.58207	0.613001	0.329545	0.168217	0.214739	1.04493	1.1215	0.558095	0.350447	0.128049	0.233434	0.716976	0.833144	1.61642	1.18435	1.0981	0.873045	0.296289	0.0294538	0.581947	0.69749	0.755451	0.882912	0.710534	0.778869	0.947423	1.1378	0.966555	0.945667	0.967696	0.693118	0.976808	1.35298	0.511479	0.0129183	0.264179	0.328536	0.257202	0.159218	0.09343	0.111472	0.151938	0.0664217	0.66474
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.c5ef21e4-195e-4160-bc6c-4a5cf2e91a44.fc.signal	1.87498	1.36153	0.0167498	0	0	0	0.0258432	0.748823	0.723608	0.03015	0	0	0	0.325456	0.223704	0	0.705069	0.648186	0	0	0.472277	0.380326	0.832212	0.518509	0.432317	0.581969	0	0.538242	0.526642	0.665474	0.43718	0.111285	0	1.07289	1.31049	0	0	0.0251265	0.708628	0.846273	0.227304	0.175148	0.655774	0.63048	1.13542	0.354142	0.28053	0.484803	0	0	0	0	0.621962
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.f0f49cb4-faa4-493d-95f6-28ba67fd8f5a.fc.signal	0.582342	0	0.056429	0.396128	0.37123	0.355366	0.313882	0.856006	0.568263	0.236297	0.177364	0.407792	0.026048	0.315983	0.615429	0.196488	0	0.892118	0.870816	0	0.146511	0.962052	0.229991	0.387016	0.148037	0	0	0.58539	0.180885	0	0	0	0	0.0502599	0.56595	0.524421	0.513716	0.221407	0.343276	0.793317	0.574483	0.763968	0.533728	0.552282	0.59534	0	0	0.173886	0.567643	0.466559	0	0.389832	0.665683
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004713.2.403942ee-0111-4576-82c4-6577b9ba6ea1.fc.signal	0.374697	0.292507	0.10941	0.302824	0.801357	0.715999	0.748729	0.177791	0.5292	0.993942	0.48145	0.043764	0	0	0.341681	0.243038	0	0.44285	0.240702	0	0	0.0480936	0.425711	0.0603203	0.305832	0.143275	0	0.650423	0.790767	0	0	0	0	0.149352	0.512707	0.518962	0.189644	0	0.06773	0.439594	0.469816	0.0467553	0	0	0.20843	0.503797	0.070335	0	0	0	0	0	0.274809
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003696.3.3a6ae66a-e132-4cd3-9cf1-43065af659e9.fc.signal	0.241875	0.399602	0.461683	0.0443335	0	0	0	0	0	0	0.33913	0.669445	0.112804	0	0.0883631	0.203047	0	0	0	0	0	0.15364	0.661117	0.26622	0.369779	0.0329012	0.28201	0.368545	0.0479417	0	0	0.487241	0.56419	0.0752151	0	0	0.0188041	0.58769	0.893192	0.500695	0.5883	0.891314	0.512457	0.557864	1.41782	0.602265	0.17937	0.513398	0.0517018	0	0	0	0.456311
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.e849a0a4-b91f-4930-9a8d-97e433f1508c.fc.signal	0	0	0	0	0	0	0	0	0	0	0.472471	0.982428	0.179853	0	0	0	0.0874633	0.724906	0.471121	0.599315	0.724407	0.28474	0.0934271	0.76796	0.178842	0.609906	0.517457	0	0	0	0	0	0.120306	0.544488	0.80308	0.340492	0.166242	0	0.361997	0.703707	0.437674	0.453346	1.10398	1.10538	1.27197	0.44708	0.349371	1.23346	0.617847	0	0	0	0.422886
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.7d48c8fd-5c5b-4bd0-8645-6d9ecb6d3b35.fc.signal	0.423669	0.708503	0.519073	0	0	0	0.333913	0.626566	0	0.014552	0.439326	0.294229	0	0	0.19791	0.535261	0.584255	0.269932	0.12202	0.72696	0.423086	0	0.147444	1.16825	0.325354	0.68685	0.144065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327955	0.128057	0.178699	0.247895	0.197581	0.64666	0.556249	0.237682	0	0	0.133111	0.647015
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003685.2.99018b0c-bf73-45c8-8a67-210ecd9aefd7.fc.signal	0	0.014179	0.724811	1.10087	0.0496597	0	0.111342	0.47046	0.342764	0.0205826	0	0.396782	0.93699	0.457392	0.0737054	0.459483	0.352845	0.47046	0.109774	0.0273547	0.129503	0.186011	0.21455	0.201432	0	0	0	0	0	0	0	0	0	0	0	0	0.434391	0.266594	0.569776	0.926209	0.638481	1.15575	0.490266	0.176357	0.0767547	0.411357	0.346964	0	0	0	0	0	0.380531
