	chr1:42732634-42732783	chr1:42732784-42732933	chr1:42732934-42733083	chr1:42733084-42733233	chr1:42733234-42733383	chr1:42733384-42733443	chr1:42733444-42733533	chr1:42733534-42733683	chr1:42733684-42733833	chr1:42733834-42733883	chr1:42733884-42733983	chr1:42733984-42734133	chr1:42734134-42734283	chr1:42734284-42734433	chr1:42734434-42734583	chr1:42734584-42734733	chr1:42734734-42734883	chr1:42734884-42735033	chr1:42735034-42735183	chr1:42735184-42735333	chr1:42735334-42735483	chr1:42735484-42735553	chr1:42735554-42735633	chr1:42735634-42735693	chr1:42735694-42735783	chr1:42735784-42735933	chr1:42735934-42736083	chr1:42736084-42736233	chr1:42736234-42736383	chr1:42736384-42736533	chr1:42736534-42736683	chr1:42736684-42736833	chr1:42736834-42736983	chr1:42736984-42737133	chr1:42737134-42737283	chr1:42737284-42737433	chr1:42737434-42737583	chr1:42737584-42737733	chr1:42737734-42737883	chr1:42737884-42738033	chr1:42738034-42738183	chr1:42738184-42738333	chr1:42738334-42738378	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0.138739	0.59237	0.0473896	0	0	0	0.250112	0.74248	1.24088	1.2748	1.52015	1.48063	1.54428	0.059237	0.59237	0.220396	0.556607	0.387015	0	0.394913	0.256694	0	0	0.108528	0.50379	0.411848	0.204345	0.283666	0.279911	0	0	0	0	0	0	0	0.376268	0.719124	0	0.699035	0.501972	0.28581	0.59237	0.506494
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.1ce16d7a-b11b-4cc6-9954-df2d097852d0.fc.signal	1.18596	0	0	0	0	0.513251	1.28331	0.590676	0.854117	0.547607	0	0	0	0.935362	1.33734	1.09457	4.64365	0.489147	1.08038	1.77889	2.23706	1.0974	0	0	0	0.817593	0.799623	0	0	1.33388	2.20684	1.2229	0	0.552739	0.952354	0	0	0	0	0	0.295528	1.05382	0	0.492593
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.b75058ba-d142-4ae0-9acf-08c2d019a7dc.fc.signal	0.788437	1.42567	1.09027	1.42195	1.08877	2.08081	2.24728	2.1458	2.53964	1.61698	3.31922	3.26319	2.59042	4.76194	2.38373	0.960363	5.67587	7.63046	6.34314	5.38137	5.77239	3.04708	4.0585	4.26038	5.52177	6.67017	4.08734	2.48984	2.83782	2.85367	2.2571	2.61773	1.9996	3.90465	2.70576	1.30988	2.24569	2.64304	0.529644	0.230197	0.67971	1.1246	0.758115	0.266983
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.52215347-885a-4412-918b-b787711b8d37.fc.signal	1.44595	1.54746	0.823473	1.22333	2.66289	1.67532	1.4875	1.02697	0.851511	1.27675	1.39625	2.14683	2.63071	1.36937	2.13447	4.91452	3.1247	2.90413	2.82369	2.74921	3.61747	4.62449	3.63162	2.06204	1.68871	2.00581	2.86965	0.755926	0.207657	1.49577	1.05127	1.12408	0.952459	0.253573	0.512387	1.10632	1.92164	1.14182	0.389293	0.539531	0.827166	1.59088	1.95296	0.377719
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.e1095ee8-c1a0-47db-b726-788ab3dbb842.fc.signal	0.241786	0.351066	0.292338	0.279226	0.612449	0.516803	0.801818	1.14463	1.27574	1.91588	2.50133	1.76662	0.926515	1.26264	2.28612	1.67678	0.652558	0.663918	0.810681	0.618619	0.21289	0.1157	0.1157	0.052065	0.318818	0.505233	0.805282	0.657957	0.429639	0.43658	0.534544	0.444294	0.351731	0.722749	0.431979	0.594488	0.604735	0.503688	0.74049	0.479776	0.101816	0.364072	0.336816	0.588571
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.a3034dad-cf3f-4b0e-b7ac-4dfa7b52d765.fc.signal	0.908344	0.201587	0.634627	0.365844	0.759032	0.858574	0.757864	0.777444	0.5217	0.730905	1.29891	1.15221	0.73417	1.08104	1.26416	2.93397	2.78464	2.37905	2.01822	2.2297	2.4288	1.60849	1.35312	1.77448	3.40513	3.4267	1.61755	0.888891	0.197144	1.27914	1.54103	1.21546	1.8436	1.67728	1.16929	1.20193	0.964714	0.286908	0.241407	0.696845	0.428062	0.900874	1.13639	0.653543
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.13102329-ee3d-4773-b2d1-9ab40cd17100.fc.signal	0.117056	0.221971	0.32685	0.403698	0.679347	0.414696	0.345586	0.0743841	0.36592	0.321995	0.235976	0.228045	0.317087	0.396405	0.243921	0.36592	0.03658	0.319559	0.541714	0.492741	0.364691	0.148933	0.179786	0.172001	0.0772244	0.148759	0.137785	0.0158513	0.269322	0.295152	0.432445	0.554975	0.188225	0.294864	0.834088	0.494921	0.24632	0.1829	0.225761	0.280996	0.0780373	0.1829	0.1829	0.737288
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.440b0def-8afc-49ae-ab48-eb6e55baaba4.fc.signal	0.332608	0.30464	0	0	0	0	0	0.848603	1.93285	2.24949	3.02551	2.10973	2.95354	1.9189	1.79194	1.63014	0.735661	1.61971	1.08396	1.27147	0.983374	2.0793	2.67802	3.09631	1.96185	0.609616	1.84899	1.50528	0.982342	0.904152	0.672517	0.274282	0.625614	0.785267	0.758736	1.59808	2.51907	0.957457	0	0	0.554812	1.49538	1.72846	0.264706
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.b52b6048-f5e8-441d-8082-83c6ea7d797d.fc.signal	0.487695	0.70005	0.975717	0.333299	0.624945	1.07675	2.58851	2.45712	2.50353	1.97535	3.19877	1.98826	4.79578	2.31142	3.92157	7.41541	4.0181	4.02055	3.59003	5.27839	3.2322	2.80261	2.52693	4.74501	4.8152	2.47628	1.73431	3.13775	3.71385	3.34964	6.86253	4.03565	3.70737	2.55169	1.07169	3.08049	1.4359	1.67852	1.3895	0.354816	0.955217	0.62901	0.802027	0.325424
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.fc509fae-cfc8-4cd1-b6e1-cb05b98526c1.fc.signal	0.596753	0.49272	0.316037	0.0137382	1.04295	1.0329	1.10011	0.877477	1.96044	1.72557	2.71791	2.20578	2.1329	1.67529	1.29151	4.13053	5.22662	6.73105	6.95728	7.84069	4.25601	2.15378	4.00474	4.2501	3.17339	2.82223	5.92482	3.69596	3.16647	4.18156	1.44201	1.18614	1.89044	2.50034	1.6538	0.642227	0.901832	0.524555	1.2917	0.875502	1.8551	2.50884	1.35451	0.367089
