	chr7:74063444-74063593	chr7:74063594-74063743	chr7:74063744-74063893	chr7:74063894-74064043	chr7:74064044-74064193	chr7:74064194-74064263	chr7:74064264-74064343	chr7:74064344-74064443	chr7:74064444-74064493	chr7:74064494-74064643	chr7:74064644-74064793	chr7:74064794-74064943	chr7:74064944-74065093	chr7:74065094-74065243	chr7:74065244-74065393	chr7:74065394-74065543	chr7:74065544-74065693	chr7:74065694-74065843	chr7:74065844-74065993	chr7:74065994-74066143	chr7:74066144-74066293	chr7:74066294-74066443	chr7:74066444-74066593	chr7:74066594-74066673	chr7:74066674-74066743	chr7:74066744-74066893	chr7:74066894-74067003	chr7:74067004-74067043	chr7:74067044-74067193	chr7:74067194-74067273	chr7:74067274-74067343	chr7:74067344-74067413	chr7:74067414-74067493	chr7:74067494-74067643	chr7:74067644-74067703	chr7:74067704-74067793	chr7:74067794-74067943	chr7:74067944-74068093	chr7:74068094-74068163	chr7:74068164-74068243	chr7:74068244-74068393	chr7:74068394-74068497	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001004.4.b3b3b801-4bf3-4e6f-974d-5cca823d1b91.fc.signal	0.463707	0.498025	0.564085	0.591377	0.383493	0.102133	0.0295937	0.0161206	0.137896	0.377437	0.425637	0.628142	0.409097	0.627698	0.673903	0.640972	0.407098	0.308637	0.438194	0.520397	0.519449	0.424175	0.148593	0.0672406	0.214255	0.484433	0.648257	0.700759	0.490403	0.271886	0.270981	0.171609	0.129175	0.157268	0.104536	0.0798397	0.0579911	0.0219897	0.0332884	0.111659	0.408698	0.537996	0.183673
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	0.436457	0.574571	1.03178	1.16741	0.703001	0.25293	0.176333	0.09743	0.107259	0.425426	0.536873	0.312816	0.377973	0.297688	0.310753	0.317609	0.241291	0.250343	0.614485	0.39452	0.147125	0.0877495	0	0.026082	0.120322	0.142299	0.0544666	0	0	0	0	0	0	0.112555	0.48467	0.527238	0.353543	0.032919	0	0.112222	0.406008	0.582238	0.306163
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.37ca9b25-a545-471a-8ba7-6b638b12b7dd.fc.signal	0.722135	0.816124	0.70219	0.422995	0.750106	0.463522	0.222424	0.267544	0.639465	0.633793	0.405803	0.122065	0.47863	0.810725	0.78102	0.488908	0.170703	0.399565	0.159949	0.340537	0.594015	0.886719	0.596775	0.1846	0.367866	0.657483	1.09033	0.985118	0.938944	0.520585	0.294941	0.240495	0.301149	0.136877	0.0239503	0.198756	0.172641	0.0560677	0.233497	0.379932	0.366323	0.783472	0.798177
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	2.35417	2.00637	3.3003	0.157786	0	0	0	0	0	2.00178	2.87682	1.27788	0	0.40576	0.65556	0.464674	1.46642	4.41952	2.74134	2.95251	2.05971	0.871182	0	1.52132	5.10286	7.42208	4.67441	1.01214	0.270634	0	0	0	0	0	0	0	0	0.305679	2.29512	1.55096	1.24974	0.318666	0.393583
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.e6af9ec0-8b4b-4624-8b3a-51f86f371f0f.fc.signal	4.15368	3.44077	3.60649	3.591	4.38622	3.19565	2.10155	1.1188	1.62134	3.12975	3.81183	2.69678	2.68893	3.0005	3.08288	3.46723	3.576	3.28163	2.68751	2.53689	2.24084	1.64997	1.53095	1.98103	2.34052	2.61644	1.75875	1.52744	2.0242	1.87339	1.26367	0.868446	0.603203	0.750261	0.710285	0.507339	0.297267	0.474548	0.700915	1.22883	1.88569	2.5238	0.559211
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001044.7.72ced85f-cc3d-4155-864f-c88e943e41cd.fc.signal	1.85614	1.42171	1.85745	1.24029	0.263795	0.2314	0.312387	0.2314	0.490562	0.604715	0.678768	0.450508	0.323123	0.502899	0.325499	0.3147	1.31588	2.64724	2.10225	1.81393	1.08282	0.234481	0.405716	0.974763	1.20988	1.49377	1.08671	1.3421	1.36678	0.526429	0.171897	0	0	0	0	0	0	0.238649	0.945619	1.46634	0.942557	1.08253	0.421296
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.f1456df1-a617-44a6-a060-cb29786302bd.fc.signal	0.790864	0.660863	0.415718	0.257473	0.338912	0.172709	0.00373725	0	0.146829	0.593587	0.62855	0.296095	0.363044	1.07354	0.888508	0.518163	0.455767	0.56271	0.406166	0.367624	0.26194	0.377019	0.696329	0.47216	1.45619	1.04177	0.790428	0.922727	0.907472	1.08229	0.693421	0.155248	0.0700138	0.408827	0.174348	0.0788166	0.0964681	0.066438	0.184047	0.124269	0.601456	0.064929	0.326733
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.44df7b1b-5968-426b-8cea-e4fad8f3b32b.fc.signal	0	0.269612	1.51799	0	0	0	0	0	0	0	0	0	0	0	0.870453	0.497746	0.400962	0	0.855867	0	0.33183	0.566877	0	0.881425	1.92597	1.56794	0.622851	0.018159	0	0	0	0	0	0.120918	0.995948	0.495441	0	0.241302	0.663942	0.203637	0.928618	0	0.118182
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.d29b7bc4-75ef-437b-ab43-12a3fcfc38d5.fc.signal	3.15801	2.9982	3.29379	3.46958	2.06971	0.616852	0.31608	0.145397	0.51205	1.76595	2.04954	1.7151	1.85791	1.49744	1.46945	1.26653	2.10732	3.71524	2.57149	1.52741	3.07051	2.196	0.337152	0.968055	2.46105	2.27381	0.916683	1.26445	1.16113	1.45409	1.26895	0.58249	0.294259	0.42921	0.393575	0.547891	1.67957	0.874526	1.10186	1.47386	1.73647	2.22486	0.521739
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001378.1.8a1df20e-6fe2-48ae-99b1-96a1bc85ea8d.fc.signal	8.23134	5.72172	7.27998	5.96966	2.73305	1.09637	0.140222	0	1.39492	3.15714	6.35979	7.20514	4.91616	3.64159	3.05308	1.93788	4.48049	5.69654	6.14522	5.87315	4.37478	1.33962	0.934537	2.19201	3.839	4.98253	1.47046	0.735851	2.24024	3.51762	1.07299	0.48773	0.542601	0.991725	0.97547	0.35225	0.637304	0.669818	2.61112	2.22681	2.41116	5.85725	0.418251
