	chr17:62521736-62521765	chr17:62521766-62521885	chr17:62521886-62522035	chr17:62522036-62522185	chr17:62522186-62522255	chr17:62522256-62522335	chr17:62522336-62522415	chr17:62522416-62522485	chr17:62522486-62522635	chr17:62522636-62522785	chr17:62522786-62522935	chr17:62522936-62523005	chr17:62523006-62523085	chr17:62523086-62523175	chr17:62523176-62523235	chr17:62523236-62523385	chr17:62523386-62523535	chr17:62523536-62523615	chr17:62523616-62523685	chr17:62523686-62523775	chr17:62523776-62523835	chr17:62523836-62523985	chr17:62523986-62524035	chr17:62524036-62524135	chr17:62524136-62524185	chr17:62524186-62524285	chr17:62524286-62524435	chr17:62524436-62524495	chr17:62524496-62524585	chr17:62524586-62524735	chr17:62524736-62524885	chr17:62524886-62525035	chr17:62525036-62525185	chr17:62525186-62525335	chr17:62525336-62525485	chr17:62525486-62525635	chr17:62525636-62525785	chr17:62525786-62525935	chr17:62525936-62526085	chr17:62526086-62526235	chr17:62526236-62526315	chr17:62526316-62526385	chr17:62526386-62526465	chr17:62526466-62526535	chr17:62526536-62526685	chr17:62526686-62526831	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.35530d7a-23e1-468e-978a-d33955937d72.fc.signal	2.7982	1.9826	1.36398	1.37608	1.0164	0.679147	0.515982	1.51833	2.2377	2.13147	1.10424	1.58646	1.06188	1.19765	1.57689	3.70418	4.82346	2.98174	0.930374	0.694283	3.05125	4.31068	1.17198	0.311198	1.05151	2.0014	0.816457	0.798909	0.632952	1.60529	3.47896	5.19416	3.84305	1.10508	1.18787	1.94289	2.17164	2.19172	1.76508	2.06373	0.974018	0.507239	0.944208	2.73728	2.75809	1.7275	0.649215
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001004.4.b3b3b801-4bf3-4e6f-974d-5cca823d1b91.fc.signal	3.15387	0.434986	0.18445	0.00614833	0	0	0	0	0	0	0	0	0	0	0.461112	4.30968	7.08483	3.78787	0.769373	0.0983733	0	0	0	0.0793148	1.03652	3.08009	1.96855	0.36891	0.174205	0	0	0	0.142641	0.0909953	0.236089	2.76657	2.15175	0.657835	0.0282825	0	0	0	0	0	0	0.282997	0.708122
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.823ac744-5eeb-40f9-9f65-c42b0b5130dc.fc.signal	4.95004	2.91299	2.00037	2.53412	3.28256	2.45213	2.14658	3.40477	7.40672	5.28003	2.00043	0.846844	0.504149	0.706156	1.72134	1.12441	0	0.38957	0.61109	1.07284	1.55832	2.38745	1.55227	0.519427	0	0	0	0	0	0.627386	1.35259	0.525537	0.13444	0.696643	0.896265	2.15521	1.98003	0.70479	0.11407	0	0	0.384114	1.22218	1.30077	1.80485	2.13476	0.535308
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	2.0911	0.838496	0.214359	0	0	0	0	0	0	0	0	0	0	0.0365704	0.54847	3.19794	4.58228	2.26858	0.654559	0.393786	0.50627	0.270053	0.025318	0	0	0.432897	0.963601	0.835374	0.337547	0.452265	3.68056	5.40524	1.64538	0.418532	0.216035	1.48169	2.21916	0.580537	0.543405	2.02506	1.69917	0.766641	0.50627	0.661783	1.0733	0.969204	0.430451
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000743.1.1bd642c8-def0-432c-b22d-2321d6cee6ca.fc.signal	4.74623	3.89035	4.17532	5.76158	3.84405	1.16012	1.08227	3.38031	3.526	3.60865	3.26484	2.3625	0.763055	0.595182	1.15951	3.56814	4.57188	2.30073	1.77068	0.63329	1.59868	1.72231	0.409285	0.887619	2.73443	3.80263	1.58626	1.38068	5.32316	8.0851	7.0094	4.43121	4.54994	1.43744	1.1346	1.22172	1.04785	2.68791	1.81452	0.853327	0	0	0.144054	1.18789	1.92886	1.53585	0.542151
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.37ca9b25-a545-471a-8ba7-6b638b12b7dd.fc.signal	5.7398	5.64431	9.47965	9.59086	8.80973	6.00938	5.74464	9.25529	9.94445	7.25943	5.09146	3.83443	3.13389	2.91072	4.82814	6.60714	6.1257	4.11806	2.02889	2.20986	4.07155	6.2669	4.07057	1.80029	1.7524	2.75919	3.34428	6.01062	9.40196	12.0908	8.12377	6.13052	5.26881	5.31427	6.34147	4.89585	4.35739	3.37521	3.45357	2.81334	1.21133	0.659032	1.43435	2.58012	3.64311	3.29183	0.638646
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	2.77356	2.55187	4.79258	3.77994	5.13991	1.96193	1.04675	4.91286	5.4572	5.52316	3.03786	3.1273	0.90391	1.3967	2.3029	4.30162	2.09534	2.58909	1.37742	0.434464	1.56834	3.71281	1.29628	0.226788	0.424998	3.17651	1.21891	0.976088	2.75178	4.48311	5.18641	3.61054	1.40954	1.26535	3.70804	6.15069	1.23324	1.88253	2.21858	2.35219	0.749974	0.461753	0.426334	2.99722	2.75334	1.16444	0.592935
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	0.98078	0.321326	0	0	0	0	0	0	0	0	0	0	0	0	0	3.91581	1.69625	0	0	0	0	0	0	0	0	0	0	0	0	0	0.897473	1.43596	0	0	0.0653853	0.938105	0	0	0	0	0	0	0.757243	1.65392	1.34621	0.867385	0.673469
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000354.2.0500ebd0-c650-482a-8d75-3cf5ca9c1882.fc.signal	1.96532	1.01076	0.729642	2.92188	1.726	0.787683	1.71754	3.35055	4.67492	3.13035	0.871777	0.0270737	0.142137	0.47379	1.7057	3.78424	2.65654	0.414566	0	0	0.442204	1.39299	1.89517	0.724903	0	0	0	0	0.152667	1.05182	1.30139	1.85105	0	0.953904	2.30587	3.56305	1.14659	0.0852831	0	0	0	0.0135369	0.929822	1.33341	1.84153	2.34957	0.630314
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.e6af9ec0-8b4b-4624-8b3a-51f86f371f0f.fc.signal	3.65259	3.06581	3.53775	4.04707	3.6972	3.64565	4.01774	4.49066	5.07765	3.41952	3.04645	2.79466	2.62104	2.74067	4.71983	7.48248	8.11456	4.42735	2.5056	2.51486	3.14703	2.68059	1.91062	1.84794	1.27851	1.18452	0.833831	1.62053	3.8195	7.39464	7.74504	7.0373	5.74616	3.49591	4.13004	3.92295	3.00468	1.66769	1.76198	3.85882	3.02282	1.42741	2.14652	2.52736	3.73168	4.61027	0.368272
