	chr9:122167145-122167294	chr9:122167295-122167444	chr9:122167445-122167594	chr9:122167595-122167744	chr9:122167745-122167894	chr9:122167895-122168044	chr9:122168045-122168084	chr9:122168085-122168194	chr9:122168195-122168254	chr9:122168255-122168344	chr9:122168345-122168494	chr9:122168495-122168594	chr9:122168595-122168644	chr9:122168645-122168724	chr9:122168725-122168794	chr9:122168795-122168854	chr9:122168855-122168944	chr9:122168945-122169034	chr9:122169035-122169094	chr9:122169095-122169164	chr9:122169165-122169244	chr9:122169245-122169394	chr9:122169395-122169544	chr9:122169545-122169694	chr9:122169695-122169844	chr9:122169845-122169994	chr9:122169995-122170144	chr9:122170145-122170294	chr9:122170295-122170444	chr9:122170445-122170594	chr9:122170595-122170744	chr9:122170745-122170854	chr9:122170855-122170894	chr9:122170895-122171004	chr9:122171005-122171044	chr9:122171045-122171094	chr9:122171095-122171194	chr9:122171195-122171264	chr9:122171265-122171344	chr9:122171345-122171444	chr9:122171445-122171494	chr9:122171495-122171594	chr9:122171595-122171644	chr9:122171645-122171794	chr9:122171795-122171944	chr9:122171945-122172094	chr9:122172095-122172244	chr9:122172245-122172256	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	0	0.363279	0.73602	0.0850036	0.652917	0.899334	1.02864	1.37535	0.776643	0.439045	0.659824	0.0405699	0.173235	0.576701	0.574055	0.120746	0.809402	1.00736	0.952692	1.15052	0.825824	0.019319	0	0.174332	0.506937	0.761961	1.24842	0.320658	0	0	0.463399	0.690308	0.217339	0	0.449023	0.849326	1.64003	0.877553	0.565069	1.10466	0.536266	0.565478	0.757594	0.569543	0.404375	0.147576	0	0	0.635359
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0	0	0.373407	0.0956498	0.526749	0.617663	0.175916	0	0	0.320933	0.461668	0.336347	0	0	0	0.384127	0.922775	0.78388	0.383269	0.0762347	0.112749	0.788121	0.158619	0.153346	0.386279	0.16308	0	0.0168265	0.374617	0.169167	0.267769	0.237646	0	0	0	0	0.0064524	0.200438	0.21362	0.392622	0.521322	0.560445	0.464876	0.055607	0	0.199653	0.234505	0	0.524351
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000964.7.68ad223e-c775-4c49-8f3f-4ec63b3e920b.fc.signal	0	0	0.260119	0.479238	1.09598	1.65273	1.62035	1.52856	0.54403	0.191378	0	1.21644	3.23119	2.02024	0.523758	0.176246	1.55973	2.0752	4.13035	6.89906	2.39217	0.869446	3.16612	2.00105	1.70307	2.30737	0.977666	0	0	0.330619	0.230052	0.874348	0	0	0	0.184938	1.50127	0.453241	0	0.796192	1.53448	0.22618	0.467229	1.00585	0.658366	0.17658	0.364499	0	0.527404
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	0.227968	1.26163	0.587265	0.0820908	0	0.133114	0.87681	0.618526	0.24891	0.0681538	0.541352	0.837092	0.493682	0.273074	0	0	0	0.231416	0.34851	0.574824	0.503664	0.231711	0.326424	0.399192	0	0.220678	0.334687	0.256606	0.0842739	0	0	0.0757236	0.4384	0.412045	0.295576	0.0320028	0	0	0.223353	0.393956	0.410896	0	0	0	1.0813	1.16607	1.01123	1.31509	0.620438
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.7b895a57-db9e-4407-9979-fc4adf5592cc.fc.signal	0.147797	0.0545712	0.561002	0.475901	0.250974	0.382814	0.578657	0.57822	0.281102	0.581633	0.696136	1.00452	1.32594	1.40229	0.718635	0.799333	0.827966	0.927856	0.757069	0.471469	0.547665	0.931348	1.75523	1.24861	0.525726	0.910041	1.67659	1.10893	1.01646	1.27902	0.452412	0	0	0	0.153481	0.34107	0.575198	0.54163	0.325911	0.0375452	0.300704	0.43632	0.443608	0.153011	0.150071	0.34107	0.0090952	0	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.7d6e7c7b-090f-4b2a-a7ba-f833c718a8ac.fc.signal	0.555948	0.790718	0.335595	0.442165	3.56067	3.55764	1.20486	0.806473	1.11927	1.32933	0.345188	0	0	0	0.286746	0.804762	2.14259	2.55382	4.08764	3.17605	2.86575	0.611374	1.76985	2.19369	1.62096	2.76023	1.9408	2.58414	1.11484	0.254319	1.87771	1.95106	0.693546	0	0	0	0.184157	0.402914	0.401635	0.356718	0.453614	0.571067	0.297773	0.885318	2.21139	1.97437	0.505553	0	0.405507
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83112ba3-4a46-4bcb-b23c-b8a94da18e77.fc.signal	0.371301	0.569083	0.0759177	0	0.0134188	0.291448	0.0489483	0	0	0.036002	0.192343	0.796873	0.799007	0.250266	0.180722	0.0838233	0	0.232186	0.520065	0.425402	0.780513	0.944535	0.435236	0.358599	0.63654	0.903674	0.242863	0.327205	0.0926213	0.0626694	0.362923	0.199939	0.127031	0.0284755	0.167149	0.258228	0.400178	0.676508	0.421179	0.1834	0.414649	0.456391	1.17001	0.791961	0.485376	0	0	0.042615	0.422764
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.61135aae-0e5d-4a79-9f3a-0fb631125d88.fc.signal	0	0	0	0	0.397674	0.689922	1.17778	2.25129	1.74411	0.191674	0	0.378145	0.66348	0.459355	0	0	0	0	0	0	0	0.141718	0.815581	0.180871	0.483494	0.699856	1.30072	0.662073	0.353295	0.190674	0.365729	0.446554	0.342355	0	0	0.0468876	0.359489	1.19237	1.60398	1.03475	0.250095	0	0	0	0	0.354495	0.400702	0.560686	0.47619
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.9ac74a4d-9d70-4efc-945e-29c0f04f171f.fc.signal	0	0.0619394	0.331111	0.369651	0.15637	0.518427	0.4852	0.389088	0.777711	0.612363	0.0041	0	0	0	0.111639	0.640209	0.912083	0.435723	0.187914	0.442051	0.902245	0.696629	0.609882	0.28714	0.274933	0.0759265	0	0	0.341614	0.305791	0.202372	0.230004	0	0	0	0.35556	1.00585	0.864411	0.786404	0.426556	0.185648	0.404122	0.44369	0.637442	0.454997	0	0	0	0.378601
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001014.4.25d46380-43d3-437b-8e36-9163ff0c4c1c.fc.signal	0.673333	0.107611	0.256141	0.85993	0.193291	0.669008	0.376408	0.241801	0.254538	0.486222	0.133408	0	0	0	0	0.0321688	0.329306	0.333649	0.104705	0.0651596	0.428003	0.72625	0.170236	0.21491	0.454516	0.693526	0.775437	0.295176	0.710942	0.593711	1.04962	0.771664	0.27086	0.00436782	0	0	0	0	0	0.271112	0.798456	0.732777	0.77126	0.646273	0.29631	0.108497	0.569913	0.520302	0.659292
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.483aa0c8-5543-4e25-b16f-2f222c5a2d5b.fc.signal	0.498299	0	0	0.265866	0.501932	0.307362	0	0.458293	1.18767	0.644218	0.298048	0.530898	0	0	0	0.198814	0.873531	0.908701	0.114704	0.193414	0.629734	0.570182	0.584682	0.0396417	0	0.238455	0.125674	0.146926	0	0.135372	0.106276	0.554187	0.60246	0.0547691	0	0	0.181623	0.584621	0.24464	0	0	0.132724	1.29948	1.0338	0.393947	0	0	0	0.715909
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001008.4.a169f921-cefd-41e3-aba6-62149b95f327.fc.signal	0.0523948	0.157215	0.619583	0.736545	0.367854	0.854347	0.768685	0.112807	0.220006	0.205679	0.21323	0	0	0	0.179794	0.317243	1.15024	1.97748	1.33566	0.511663	0.192028	0.138032	0.1592	0.276253	0.092471	1.31397	0.804678	0.797132	0.0488521	0.427043	0.865091	0.25778	0.203794	0.184253	0.467392	0.983134	1.04016	1.03099	1.66203	1.92141	0.640821	0.608417	0.95717	1.33571	0.978659	0.657613	0.12442	0.326863	0.38273
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.b63d6dc1-6fc0-4b8d-9bff-172e3f638785.fc.signal	0.203126	0.28271	0	0.252649	1.84293	3.05562	2.14408	0.899382	0.591731	2.16855	3.06013	2.49958	2.06552	1.04622	0.743639	0.797603	0.802272	0.837732	0.79784	0.79784	0.354041	0.609018	0.821774	1.85974	1.46875	1.11821	0.289043	0	0.0779371	0.466519	0.362919	0	0	0	0	0	0.382266	0.591672	0.772736	0.172465	0.407756	0.668267	0.789786	0.72224	1.47062	1.80012	0.828169	0.749628	0.314079
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.6e43a1d4-827b-4226-ab35-bcd9e4427ba9.fc.signal	0.106033	0.600711	1.09042	1.0196	1.26293	0.25762	0	0	0	0	0.179278	1.08169	1.47504	1.41008	0.869416	1.19877	1.59461	1.72307	1.85381	1.59872	2.04589	2.32971	1.97801	0.485149	0.679565	0.821705	0.283251	0.268996	0.382319	1.02576	1.0693	0.393963	0	0.0325735	0.779069	1.09764	1.62259	1.96342	0.972282	0.800981	1.58965	3.20057	4.09088	2.50106	0.455123	0.34047	0.723142	0.84413	0.673759
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.61dbfaab-48a0-49aa-b249-2516c02981de.fc.signal	0.247872	0.482011	1.31193	1.01211	0.107411	0	0	0	0	0	0	0	0	0	0.244271	0.815698	1.62141	0.984708	0.544847	0.106233	0.226575	0.434936	0.25098	0.228272	0.249008	0.0371808	0	0.41975	0.223014	0	0	0	0	0	0	0	0	0.907528	1.69644	0.848303	0.15618	0	0	0	0	0.158019	0.240127	0	0.603774
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.8f250bd6-ace7-4938-8056-c658c54331a9.fc.signal	0.299894	0.306808	0.0139956	0.813329	0.614839	0	0	0	0	0	0	0.0941142	0.317045	0.430026	0.402946	0.217104	0.00241078	0	0	0.022113	0.219078	0.496868	0.798652	0.435542	0.134888	0.322472	0.753258	0.682667	0.184483	0.466341	0.384555	0	0	0.0163825	0.22187	0.602274	0.788522	0.731925	0.258897	0.0670853	0.143038	0.297498	0.344048	0.571275	0.69258	0.0145033	0.306023	0.431802	0.473282
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.986e393c-de82-4afc-818b-4cc2a632dc28.fc.signal	0.483534	0.358987	0.512839	0.318693	0.875584	1.198	0.54947	0.234774	0.346217	0.250303	0.194641	0.712509	1.50198	1.56266	1.17794	0.360732	0	0	0.536712	0.536289	0.371233	0.090475	0.54048	0.309597	0.266334	0.191061	0.287545	0	0.0437032	0.546007	0.0837645	0	0	0	0	0.208799	0.54947	0.515756	0	0	0	0.288826	0.508205	0.26283	0	0.272836	0.532795	0.48325	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.b81732b7-0852-42a0-916a-8784920a02a3.fc.signal	0.233161	0.00902707	0.862933	0.794349	0	0.618512	1.27394	1.68752	1.81875	1.28224	0.319386	0	0	0	0	0	0.29338	0.67703	0.631895	0	0	0	0.168587	1.09116	0.209663	0	0.0391675	0.856882	1.20952	0.644821	0.822515	0.307741	0	0	0	0	0.115095	0.67703	0.669032	0.422089	0.715785	1.21177	1.35391	0.694631	0	1.40361	1.10122	0	0.686486
