	chr9:9412252-9412401	chr9:9412402-9412441	chr9:9412442-9412471	chr9:9412472-9412491	chr9:9412492-9412551	chr9:9412552-9412581	chr9:9412582-9412631	chr9:9412632-9412701	chr9:9412702-9412851	chr9:9412852-9413001	chr9:9413002-9413101	chr9:9413102-9413151	chr9:9413152-9413211	chr9:9413212-9413251	chr9:9413252-9413301	chr9:9413302-9413451	chr9:9413452-9413571	chr9:9413572-9413601	chr9:9413602-9413751	chr9:9413752-9413901	chr9:9413902-9413991	chr9:9413992-9414051	chr9:9414052-9414171	chr9:9414172-9414201	chr9:9414202-9414351	chr9:9414352-9414391	chr9:9414392-9414421	chr9:9414422-9414501	chr9:9414502-9414651	chr9:9414652-9414711	chr9:9414712-9414801	chr9:9414802-9414901	chr9:9414902-9414951	chr9:9414952-9415061	chr9:9415062-9415101	chr9:9415102-9415151	chr9:9415152-9415251	chr9:9415252-9415371	chr9:9415372-9415401	chr9:9415402-9415441	chr9:9415442-9415491	chr9:9415492-9415551	chr9:9415552-9415701	chr9:9415702-9415801	chr9:9415802-9415821	chr9:9415822-9415851	chr9:9415852-9415931	chr9:9415932-9416001	chr9:9416002-9416131	chr9:9416132-9416151	chr9:9416152-9416261	chr9:9416262-9416301	chr9:9416302-9416451	chr9:9416452-9416601	chr9:9416602-9416751	chr9:9416752-9416861	chr9:9416862-9416901	chr9:9416902-9416961	chr9:9416962-9417051	chr9:9417052-9417081	chr9:9417082-9417161	chr9:9417162-9417201	chr9:9417202-9417323	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0.118737	0.307532	0.550685	0.63845	0.647034	0.629654	0.687118	0.577147	0.447433	0.355207	0.452276	0.696828	0.500994	0.351372	0.341926	0	0.252558	0.483108	1.08522	0.801277	0.375253	0.279329	0.57431	0.83791	0.716381	0.812006	1.21575	1.3722	1.77132	0.665295	0.65776	1.13961	1.17172	1.3563	1.06038	1.55547	1.67455	1.32193	0.93108	0.426176	0.048503	0.280828	0.612755	0.461537	0.616744	0.77089	0.756757	1.09249	0.46703	0.483137	0.280882	0.297293	0.18668	0.259395	0.209341	0.343126	0.34379	0.34593	0.0508329	0	0	0	0.502249	0.422609
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.39496704-1279-499c-ac28-c72497e8030d.fc.signal	0.109689	0.261879	0.454578	0.468775	0.414398	0.187755	0.304417	0.202566	0.550915	0.659775	0.261558	0	0	0	0	0	0.234317	0.333328	0.402857	0.326435	0.851076	0.947993	0.773921	0.603525	0.338701	0.517199	0.646845	0.710316	0.683651	0.955141	0.916342	0.6475	0.390539	0.224317	0.323054	0.449845	0.470166	0.262422	0.0996813	0	0	0.0341	0.230486	0.248905	0.267987	0.211706	0.257433	0.262686	0.849092	1.01503	0.780762	0.410372	0.223061	0.233132	0.356676	0.566558	0.076433	0.198791	0.220131	0.419059	0.288366	0.210894	0.162249	0.354111
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.85fb694c-24ac-4a67-afb4-86273572ea8c.fc.signal	0	0.20737	0.27818	0.454318	0.676206	0.834986	0.839996	0.418389	0.061321	0.441187	0.538754	0.275572	0.367747	0.82545	0.674797	0.674344	0.240473	0	0.128429	0.254305	0.521793	0.537896	0.621081	0.990444	0.799425	0.264263	0.086224	0	0.352573	0.427933	0.494743	0.705038	0.673244	0.480712	0.41952	0.424701	0.62047	1.08333	1.41606	1.68574	1.45462	1.27973	0.244692	0.447682	0.77036	0.77036	0.567549	0.179013	0.405766	0.633779	0.611991	0.698317	0.830536	1.11297	0.736436	0.329149	0.43227	0.349752	0.452853	0.418187	0.335229	0.26078	0.2196	0.388203
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d8e6c755-45ac-4108-b1ba-23233bd0ab31.fc.signal	0.143216	0.194378	0.476223	0.54252	0.968486	0.990297	0.612219	0.028398	0	0	0	0	0	0	0.697538	0.953778	0.611518	1.32042	1.02945	0.293503	0.0515371	0.661265	1.09293	0.727192	0.756466	1.0233	1.02598	0.558536	0.347675	0.212837	0.705075	0.741816	0.122957	0	0.198518	0.445143	0.807394	0.552886	0.34194	0.34194	0.297557	0.208927	0.328199	0.485614	1.02598	1.36807	1.25689	2.21328	2.26778	1.07729	0.696431	1.67586	1.40672	1.23169	1.12056	0.761948	0.72341	0.825662	0.680785	0.853599	0.987364	0.922579	0.229889	0.503683
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.e5051162-3534-4c21-b37a-9d70a53452b8.fc.signal	0.746657	0.80965	0.80965	0.566758	0.53977	0.296869	0.0215904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323862	0.53977	0.53977	0.176652	0	0.275283	0.677385	1.24361	0.80965	0.850115	0.804206	0.431814	0.223101	0	0	0	0	0.204338	0.361227	0.53977	0.360661	0.26988	0.433614	0.476796	0.390431	0.495606	0.26988	0.094458	0	0	0	0	0	0.118721
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.1164241b-8ba2-45bf-987f-0243c87c0a1c.fc.signal	0.848251	0.531258	0.285146	0.29039	0.292888	0.166543	0	0.293121	0.651716	0.720008	0.326259	0.0662332	0	0.030106	0.303468	0.248359	0.312935	0.706879	0.649224	1.02258	1.00746	0.806018	1.07475	0.617448	0.286249	0.285809	0.46053	0.521704	0.555871	0.435152	0.134554	0.18817	0.316111	0.395282	0.449793	0.60245	1.04025	0.992425	0.670013	0.27105	0	0.307591	0.30523	0	0	0	0.128629	0.631983	0.742516	0.28187	0.472273	0.493819	0.133395	0.293039	0.711797	0.284303	0.539275	0.818795	0.648607	0.595651	0.876461	1.00962	0.525011	0.415094
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.f6bea37b-7779-4621-9ed2-82fb7b23df8f.fc.signal	0.601388	0.644001	0.447125	0.33966	0.0960987	0.12302	0.33551	0.339304	0.469956	1.18988	0.272121	0	0	0	0.392007	0.814874	1.63941	1.64978	0.930653	0.716041	0.379578	1.02153	1.57393	0.800728	0.899497	1.63383	1.6625	1.71551	0.872095	0	0.473636	0.68628	0.070886	0.141772	0.930521	1.06345	0.850778	0.936409	1.73685	1.63892	1.29728	0.198116	0.510447	0.507693	0.248995	0.279196	0.501846	0.896236	0.654708	0.49534	0.395029	0.693427	1.02502	0.418427	1.15806	0.723967	0.398978	0.251379	0.216682	0.291703	0.311662	0.307533	0.180181	0.392051
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.982b1a46-0bf8-457b-a213-1cec9bf76346.fc.signal	0.368967	0.57834	0.414921	0.67732	0.448075	0.359257	0.323185	0.12393	0	0.598804	0.780855	0.0983178	0	0	0.340595	0.77408	0.0805512	0.212058	0.222376	0.460238	0.892432	0.924524	0.813162	1.16112	1.12003	0.35628	0.722475	0.745052	0.756018	0.77408	0.917897	0.414498	0.0404838	0.290432	0.57834	0.780766	1.47732	2.14724	1.33983	0.672324	0.555384	0.358595	0.483769	0.590084	0.491589	0.360553	0.878064	1.35498	0.76447	0.101209	0.0696664	0.269906	0.650537	1.16588	0.883715	0.794992	0.695784	0.382964	0.262921	0.546213	0.532559	0.469901	0.0410857	0.359799
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.6e93a1e0-8828-4ce5-83f8-36249902bda2.fc.signal	0.0401295	0.675441	0.80653	0.80653	1.10311	1.27812	0.732304	0.933197	1.03626	0.652351	0.147185	0.325955	0.380896	0.141739	0	0	0.151198	0.779162	0.625389	0.826046	1.13187	0.852087	0.894358	0.713923	0.383881	1.01251	0.65868	0.592578	0.561202	0.538675	0.342661	0.71577	1.82255	1.25656	0.618545	0.71848	0.967778	0.55815	0.32986	0.123698	0.105555	0.321727	0.269082	0.165675	0.172131	0.229811	0.289108	0.107664	0.12857	0.32986	0.582372	0.849543	1.14803	0.768024	0.58013	0.399263	0.41433	0.344133	0.3238	0.459113	0.463402	0.0310748	0	0.351351
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003837.4.7a6d8040-3df1-443f-8bf8-8f3e00d9a3bc.fc.signal	0.586712	0.58023	0.558495	0.58283	0.50188	0.38855	0.38855	0.416304	0.65016	1.01789	0.536202	0	0	0	0	0.0316996	0.300234	0.886789	0.78995	0.714631	1.34209	1.50532	1.19209	0.998019	1.23327	0.966592	0.659327	0.28516	0.462946	1.07163	0.690154	0.472281	0.638786	0.611877	0.254593	0.264822	0.729116	1.19991	0.5848	0.389081	0.155701	0.013701	0.217351	0.675124	1.40206	1.32648	0.9281	0.738997	0.850528	1.10566	0.774095	0.485527	0.599291	0.399475	0.825073	1.48517	0.898641	0.833499	1.15298	1.35424	1.01634	1.31122	0.804148	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.bb047498-09b9-4c13-b396-ee9ca79dcf59.fc.signal	0	0	0	0	0	0	0.014372	0.210455	0.367298	0.811891	1.34319	0.426426	0.41726	0.0104525	0.351204	0.699745	0.0209592	0	0.221547	0.174859	0.347836	0.3593	0.417631	1.25446	1.24047	0.390495	0.3593	0.534466	1.25939	0.847478	0.524831	0.386151	0.497256	0.382206	0.391723	0.39635	0.276682	0.205614	0.17966	0.281518	0.31109	0.065785	0.714337	0.194022	0	0.08362	0.4181	1.11105	1.63621	1.07805	0.812645	0.961678	1.32692	0.805555	1.05368	0.452308	0.4181	0.4181	0.297316	0	0.309896	0.458107	0.55435	0.372576
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.424bbc61-947c-4459-9db6-6a124654e2c1.fc.signal	0.856311	0.996014	0.773531	0.743699	0.863606	0.927935	1.16109	1.71542	1.81504	1.5329	1.1319	0.275972	0.0775135	0	0	0	0.0302917	0.299406	0.561671	0.63897	1.28344	1.59737	1.04271	0.485916	0.283329	0.59014	0.638487	1.10969	1.08479	1.20501	1.35869	1.23706	1.40609	1.15577	0.57023	0.683166	0.688727	0.499163	0.217028	0.210067	0.21029	0.0947755	0	0	0	0	0	0	0.0126374	0.18254	0.457451	0.870092	1.16421	1.43209	0.689671	0.767934	0.97766	1.24567	1.43171	1.14442	1.014	0.749513	0.614931	0.223022
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.7414bb41-cf54-40da-9950-d1fdfeffed2f.fc.signal	0.791696	0.702561	0.447054	0.577268	0.651574	0.597329	0.574693	0.687107	0.686731	1.12948	0.883505	0.444756	0.308889	0.142006	0.152924	0.600107	0.992871	1.44038	1.29443	0.872788	0.896612	1.138	1.38132	1.28202	1.17116	0.91797	1.18119	1.115	0.774384	0.384205	0.731934	1.00044	1.23827	0.8681	0.619482	0.370216	0.297979	0.393258	0.482743	0.499368	0.372406	0.363379	0.945665	1.2466	1.28306	1.48877	1.24614	0.988502	0.692754	0.937015	0.934213	1.11267	1.18759	0.807773	0.605948	0.680076	0.976332	1.13469	1.30074	0.999284	0.878594	0.67719	0.784799	0.538889
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.a94a6b89-542c-4e29-9116-4cbe6008554d.fc.signal	1.08773	1.04187	1.07577	1.24067	1.63235	1.58695	1.09931	0.750688	0.492352	0.622194	0.896002	0.417732	0	0	0.28816	0.876392	0.54521	0.274013	0.307166	0.437779	0.284278	0.426416	1.05225	1.25591	0.526071	0.270499	0.250719	0.653965	0.472509	1.13537	1.10855	0.493374	0.46238	0.705718	0.301804	0.396087	0.874668	1.0156	0.709803	0.6165	0.776806	0.467518	0.491593	1.0953	1.73886	1.54319	1.12213	0.859914	0.343487	0.46238	0.639548	0.458461	0.982266	1.46052	1.46248	2.16087	2.33083	2.29046	0.906133	0.596145	0.661251	0.6165	0.261095	0.405612
