	chr10:86704031-86704180	chr10:86704181-86704270	chr10:86704271-86704330	chr10:86704331-86704430	chr10:86704431-86704480	chr10:86704481-86704580	chr10:86704581-86704630	chr10:86704631-86704780	chr10:86704781-86704930	chr10:86704931-86705080	chr10:86705081-86705230	chr10:86705231-86705380	chr10:86705381-86705530	chr10:86705531-86705630	chr10:86705631-86705680	chr10:86705681-86705730	chr10:86705731-86705830	chr10:86705831-86705980	chr10:86705981-86706060	chr10:86706061-86706130	chr10:86706131-86706220	chr10:86706221-86706280	chr10:86706281-86706340	chr10:86706341-86706430	chr10:86706431-86706500	chr10:86706501-86706580	chr10:86706581-86706730	chr10:86706731-86706800	chr10:86706801-86706880	chr10:86706881-86707030	chr10:86707031-86707080	chr10:86707081-86707180	chr10:86707181-86707330	chr10:86707331-86707400	chr10:86707401-86707480	chr10:86707481-86707630	chr10:86707631-86707780	chr10:86707781-86707930	chr10:86707931-86708080	chr10:86708081-86708230	chr10:86708231-86708380	chr10:86708381-86708500	chr10:86708501-86708530	chr10:86708531-86708680	chr10:86708681-86708830	chr10:86708831-86708980	chr10:86708981-86709080	chr10:86709081-86709130	chr10:86709131-86709219	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0.172468	0.303351	0.25699	0.172183	0.722886	0.700944	0.505446	0.0710784	0	0	0.24457	0.287793	0	0	0	0.710784	0.78976	0.447531	0	0.372315	0.39488	0.39488	0.0921387	0	0	0	0	0.169234	0.39488	0.445789	0.34264	0.36667	0.068528	0	0	0.0452298	0.422499	0.884505	0.352759	0.39488	0.150054	0	0	0	0.604981	0.60285	0	0	0	0.520548
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.4a1ca7c4-2f79-45be-831a-730c86435275.fc.signal	0	0.113123	0.727522	0.629078	0.612545	0.587207	0.169659	0	0.490049	1.69097	0.804396	0.1159	0.542055	0.371345	0.780406	1.36237	0.801752	0.110278	0.701615	1.38243	0.757021	0.0368307	0	0	0	0	0	0	0.296902	0.598778	0	0	0	0	0.557134	0.376294	0.847283	0.696606	0.574729	1.14481	0.348447	0.389661	0	0.441077	0.935401	0	0	0.458584	0.89324	0.466321
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.39496704-1279-499c-ac28-c72497e8030d.fc.signal	0.423821	0.425703	0.818266	1.04651	0.71016	0.487297	0.644914	0.471289	0	0	0	0	0	0.211275	0.320059	0.32442	0.107059	0	0	0	0	0	0.308199	0.32442	0.245632	0	0	0.203917	0.64871	0.329312	0.384768	0.801562	0.73956	0.449503	0.320984	0.520882	0.110303	0.356812	0.505141	0	0	0	0	0.0497444	0.32442	0.12328	0.322003	0.469703	0.792296	0.600806
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.cefd2162-5b9f-4732-99fc-718d82bca068.fc.signal	0.0808668	0.472906	0.21798	0.0804668	0.56962	0.290506	0	0	0	0.609574	0.0976833	0.214156	0.226388	0.320926	0.456946	0.43039	0.698392	0.653572	0.535406	1.14186	2.33065	0.00924117	0.536445	0.378662	0	0.356413	0.470813	0.348582	0.227164	0.933283	0.612109	1.66946	1.31573	0.411032	0.32601	0.0671792	0.283559	0.161184	0.55276	0.958402	0.449717	0.309713	0.47822	0.047822	0.803883	0.650249	0.984761	0	0	0.44246
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.71f94e98-332b-4fcc-9a34-c0ad4b748586.fc.signal	0.478448	0.14378	0.0886643	0	0.0776412	0.271803	0.802524	0.799668	0.147634	0.205747	0.639149	1.40559	0.49719	0.0488852	0.0376572	0.123725	0.139849	0.207114	0.513655	0.540348	0.45225	0.431476	0.57527	0.573672	0.234215	0.262481	0.439151	0.357536	0.361377	0.373968	0.207099	0.276186	0.223416	0.094484	0.476399	1.03801	0.966496	0.856224	0.24548	0.0555949	0.0275714	0.43084	0.607431	0.404104	0.242844	0.394315	0.552723	0.593121	0.669211	0.602389
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0.402785	0.460953	0.704943	0.677826	0.635618	0.657557	0.751144	0.908077	0.311317	0.262424	0.535744	0.31061	0.344648	0.350942	0.356072	0.387399	0.363215	0.393245	0.48106	0.578694	0.40424	0.110447	0.229388	0.350769	0.313683	0.364999	0.564039	0.439337	0.579012	0.495563	0.444283	0.768425	0.710495	0.358572	0.509161	0.716041	0.424995	0.176038	0.0405369	0	0	0	0	0	0	0.110275	0.157633	0.0193632	0	0.598361
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.58e5cc13-3837-4676-9815-86ae7a4468bc.fc.signal	0.356185	0.0912066	0.185341	0.404992	0.797954	0.48107	0.199771	0.015364	0.259241	0.150623	0	0.205386	0.451401	0.122934	0.177416	0.173269	0.0798714	0	0	0	0.0887698	0.299722	0.30741	0.312505	0.30741	0.30741	0.0286847	0	0	0	0	0	0	0	0.161364	0.299209	0.0245824	0.162897	0.276656	0.308434	0.0717125	0.116552	0.333017	0.549227	0.341206	0.497019	0.0489636	0	0	0.0184897
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.85fb694c-24ac-4a67-afb4-86273572ea8c.fc.signal	0.0021668	0.10314	0.28129	0.28129	0.326296	0.28129	0.28129	0.225032	0.28129	0.00750107	0	0	0.0903643	0.243888	0.474096	0.46225	0.753637	0.307491	0	0	0	0	0	0.156491	0.21668	0.278059	0.0187527	0	0.23558	0.448189	0.466941	1.13185	1.03009	0.311081	0.268681	0.531072	0.460077	0	0.0300043	0.242955	0.1916	0.28129	0.206279	0.363802	0.446313	0.0337548	0	0	0	0.445161
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d8e6c755-45ac-4108-b1ba-23233bd0ab31.fc.signal	0.608222	0.956118	0.436043	0.27831	0.246999	0.39803	0.660299	0.200221	0	0.147741	0.253696	0.148586	0.0389731	0	0.10785	0.33703	0.591282	0.352419	0.694045	1.3195	0.856538	0.245076	0	0	0	0	0.369324	0.95759	0.705402	0.693118	0.937073	1.1765	0.683655	0.489775	0.490799	0.733743	0.120819	0	0	0.0983991	0.277237	0.272746	0.279976	0.311434	0.115142	0.235473	0.359942	0.32578	0.00366045	0.552326
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001027.7.3e57f4b2-3eea-42bc-9983-8ecec55d5977.fc.signal	0	0.111706	0.436588	0.183501	0	0	0.0970352	0.334923	0	0.819489	0.619085	0.354643	0.0846869	0.395865	0	0	0	0.841319	0.607858	0	0	0.0559083	0.438471	0.550337	0.422096	0.501804	0.0415296	0	0	0.0689707	0.353573	0.672958	0.594057	0.560565	0.734225	0.494053	0.0191079	0.133747	0.201388	0.252422	0.490149	0.52926	0.058955	0	0.267489	0	0	0	0.0255028	0.0185056
