	chr9:133664266-133664415	chr9:133664416-133664565	chr9:133664566-133664715	chr9:133664716-133664865	chr9:133664866-133665015	chr9:133665016-133665165	chr9:133665166-133665315	chr9:133665316-133665465	chr9:133665466-133665615	chr9:133665616-133665765	chr9:133665766-133665915	chr9:133665916-133666065	chr9:133666066-133666215	chr9:133666216-133666365	chr9:133666366-133666515	chr9:133666516-133666665	chr9:133666666-133666815	chr9:133666816-133666965	chr9:133666966-133667115	chr9:133667116-133667195	chr9:133667196-133667265	chr9:133667266-133667415	chr9:133667416-133667565	chr9:133667566-133667715	chr9:133667716-133667865	chr9:133667866-133668015	chr9:133668016-133668165	chr9:133668166-133668255	chr9:133668256-133668315	chr9:133668316-133668395	chr9:133668396-133668465	chr9:133668466-133668525	chr9:133668526-133668565	chr9:133668566-133668615	chr9:133668616-133668765	chr9:133668766-133668805	chr9:133668806-133668845	chr9:133668846-133668915	chr9:133668916-133669065	chr9:133669066-133669215	chr9:133669216-133669268	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000174.3.ad699f10-b9f0-4846-a1ea-444cf5fe468b.fc.signal	2.32963	2.03742	0.652503	0.47342	1.05001	0.849108	2.01643	3.21995	1.98543	1.19849	0	0.721989	2.17774	1.67127	2.43553	0.709084	0.0966938	0	0.864704	1.26036	0.157867	0	0.599972	1.61703	0.886947	0.91164	0.221014	0	0	0	0	0	0	0	0	0	0	0	0.156552	0.69067	0.143347	0.72807
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.4e9958ba-8dfc-4908-9654-b8c3286ec999.fc.signal	0.816897	1.36852	1.34325	0.405882	1.66119	2.19341	2.56746	1.95536	1.97235	2.24034	1.72871	1.96674	1.41126	1.17891	1.42827	1.62711	1.00642	0.981319	0.986153	0.425055	0	0	0	0.826812	2.54481	2.0068	0.83885	1.67204	0.0708425	0.425055	0.85011	0.779267	0	0	0	0	0	0	0	0	0	0.698324
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001913.1.0691c0e9-6039-4aa9-a294-80d73cee59d2.fc.signal	0.617552	0.674615	0.544291	0.782918	0.71191	0.814609	0.937948	0	0.190016	1.15924	0.50357	0	0	0	0.0760064	1.15926	0.394343	0.830867	0.488447	0	0	0	0	0.705963	1.19414	1.30564	2.36279	0.78388	0	0	0	0	0	0	0	0	0	0	0	0	0.0806672	0.244755
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000053.3.6cb1979d-a688-443a-a34f-9028034c29a9.fc.signal	0.498916	0	0	0	0	0.505798	1.71367	0.87745	0	0.251178	0.688163	0.880852	0.0412896	1.21469	0.640022	0	0.192685	0.811022	0.0894608	0	0	0.203007	0.406636	0.273524	0.872567	0	0.78451	0.756983	0	0	0	0	0	0	0	0	0	0	0	0	0	0.617647
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000943.7.b97e43e6-4dfc-4f07-88bb-76ebefe1ddac.fc.signal	2.35929	3.303	3.92908	2.19287	2.68807	2.51842	2.67908	1.33611	2.26392	2.32139	1.70566	1.89245	1.06612	1.40668	1.28033	0.941574	1.27786	1.66793	1.68706	1.07301	0.291351	0.113221	0.608695	2.02879	2.50662	3.36385	2.72593	1.05518	0.257893	0.241215	0.163808	0.103372	0	0.11755	0.0634395	0	0	0	0	0	0.0418898	0.625282
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.c3b55191-0fbe-42ec-a1e0-0d7c8c410fde.fc.signal	1.08239	0.955995	0.208525	0.427845	0.643573	1.08569	0.790796	0.305387	0.533058	0.932245	0.629273	0.0296283	0	0.93327	1.31648	0.73818	1.22709	0.761559	0.974192	0.5442	0.161127	0.173473	0.142684	0.329369	0.665266	0.658791	0.289193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43662
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000177.3.83b0b921-e0bc-4aa4-a2f0-7efee9bf544b.fc.signal	1.37061	1.61757	1.33547	3.30702	0.857476	1.26077	1.15505	0.787611	1.17383	3.57883	2.23464	0.179885	0.861537	1.79885	1.17872	0.184634	0.643851	0.747973	2.80716	2.71233	0.910344	0.169421	0.157923	0.394072	1.62379	1.44165	1.33053	3.11982	2.21309	1.10062	0.0405789	0	0	0	0	0	0	0	0	0	0	0.74
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001906.1.165f7781-9b32-4127-9b7e-a3c22e1d8bc5.fc.signal	1.33556	0.676527	0.769917	0.681765	0.567784	0.710606	0.27571	0.298845	0.227259	0.27916	0.395541	0.301509	0.170241	0.316544	0.405807	0.340939	0.312583	0.360847	0.545922	0.477624	0.266936	0.153775	0.797701	1.40893	0.666581	0.465845	0.370433	0.460864	0.211846	0.0478345	0	0	0	0	0	0	0	0.0692829	0.11701	0.0231713	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000237.3.206f09d2-76dd-4938-b45e-439de4017881.fc.signal	0.949262	1.21994	0.913502	0.57334	0.784945	0.755102	0.742503	0.954233	0.863188	0.483065	0.601071	0.618401	0.184856	0.27742	0.57452	0.690429	0.781366	0.651338	0.528079	0.36785	0.293263	0.371234	0.296624	0.64593	1.06093	0.863372	1.06928	0.469094	0.18306	0.10032	0.0156181	0	0	0	0	0	0	0	0	0	0	0.655629
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003822.3.92277bf1-d852-4798-9042-40cf7998125a.fc.signal	0.186558	0.328441	0.0798555	0	0	0.0537971	0.227071	0.300705	0.0514237	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160635	0.64573	0.433655	0.261679	0.364444	0.253211	0.11867	0.0103836	0	0	0	0	0	0	0	0	0	0	0	0.227969
