	chr9:92710961-92711110	chr9:92711111-92711260	chr9:92711261-92711410	chr9:92711411-92711560	chr9:92711561-92711710	chr9:92711711-92711860	chr9:92711861-92712010	chr9:92712011-92712160	chr9:92712161-92712310	chr9:92712311-92712460	chr9:92712461-92712610	chr9:92712611-92712760	chr9:92712761-92712910	chr9:92712911-92713060	chr9:92713061-92713210	chr9:92713211-92713360	chr9:92713361-92713510	chr9:92713511-92713660	chr9:92713661-92713810	chr9:92713811-92713960	chr9:92713961-92714110	chr9:92714111-92714260	chr9:92714261-92714410	chr9:92714411-92714560	chr9:92714561-92714710	chr9:92714711-92714860	chr9:92714861-92715010	chr9:92715011-92715160	chr9:92715161-92715310	chr9:92715311-92715460	chr9:92715461-92715610	chr9:92715611-92715760	chr9:92715761-92715910	chr9:92715911-92716060	chr9:92716061-92716210	chr9:92716211-92716280	chr9:92716281-92716360	chr9:92716361-92716510	chr9:92716511-92716660	chr9:92716661-92716810	chr9:92716811-92716960	chr9:92716961-92717110	chr9:92717111-92717260	chr9:92717261-92717410	chr9:92717411-92717560	chr9:92717561-92717710	chr9:92717711-92717753	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.35530d7a-23e1-468e-978a-d33955937d72.fc.signal	4.0179	3.22302	3.10008	2.34861	0.951086	0.920568	1.68583	3.3082	2.86992	2.72793	0.832404	0.876921	1.82601	2.95608	1.67383	2.25445	3.5285	4.84428	5.40975	5.10305	4.33736	3.81589	3.43116	2.69538	4.33113	4.7137	4.37909	5.7709	5.38321	5.25393	4.23689	2.3782	3.2764	3.08727	2.91041	2.24726	0.961453	0.93501	1.62889	0.840338	1.52848	2.44899	3.43073	3.74065	5.17853	5.07253	6.10576	0.559322
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001004.4.b3b3b801-4bf3-4e6f-974d-5cca823d1b91.fc.signal	3.05861	2.29012	0.760498	0.0612815	0.0076984	0	0.346132	2.22476	2.15349	1.88505	0.399688	0.0492259	0.83083	2.96637	2.34238	1.81798	2.2743	3.33182	2.9336	2.56462	2.13733	3.13732	2.43533	1.9374	1.83741	3.65953	3.0134	2.67762	2.57306	1.98358	2.10443	1.6987	2.75605	2.80709	1.80373	1.47142	0.875116	0.968459	1.40053	0.660685	1.00374	1.3446	1.23955	2.09238	2.3623	2.37811	2.48055	0.232365
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.823ac744-5eeb-40f9-9f65-c42b0b5130dc.fc.signal	8.85454	2.62215	8.36099	11.4332	5.87364	5.11709	3.09653	5.39821	9.82673	9.1586	6.33957	6.22435	6.4614	10.5702	14.5109	9.30745	9.11788	15.4182	18.6173	13.9371	13.5284	15.5468	15.7709	20.5864	18.8856	15.2697	15.4537	21.9237	26.1109	16.8427	22.882	20.6557	14.3205	12.3285	17.3898	17.3383	9.35833	7.51092	9.4397	4.9189	7.06943	9.97835	7.93388	9.67207	15.8383	15.4302	13.4191	0.749436
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	4.41747	4.67193	3.18404	0.757102	0.0213344	0.0185437	1.19368	3.43795	3.24093	2.07822	0.678895	0.236113	2.23767	3.59975	3.1863	3.08548	3.38785	4.05484	3.69087	2.81692	2.41578	3.574	4.28309	3.42665	4.9173	6.02626	5.67853	5.35989	5.5945	3.96181	3.20274	2.74994	3.54114	5.07374	4.47077	2.53342	2.10339	1.01008	1.24677	1.27644	2.25499	2.77829	2.692	2.8335	2.84	3.1669	3.35461	0.268615
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000743.1.1bd642c8-def0-432c-b22d-2321d6cee6ca.fc.signal	1.99193	2.31401	2.14573	3.34645	0.475082	1.30013	1.85747	0.260962	1.24624	1.73892	2.37731	2.10499	2.74551	3.0559	2.41675	2.93595	2.40483	1.01829	1.44233	1.18366	3.02303	3.41543	4.71933	2.72198	2.46397	3.29571	3.56326	4.50661	3.64384	2.81334	3.42789	2.75934	1.59217	2.11572	1.66101	1.33471	1.78685	2.26667	2.26489	0.709266	1.13987	1.04849	4.29994	3.57737	4.08814	2.19044	3.0854	0.562172
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.37ca9b25-a545-471a-8ba7-6b638b12b7dd.fc.signal	5.73496	4.8578	6.57541	6.05315	6.59361	4.09364	1.65026	2.08318	2.12959	3.07252	4.42182	5.0251	3.44292	3.34234	3.49418	4.67985	5.71174	4.19629	3.76401	5.59955	7.36266	7.6586	5.1518	6.58702	6.6576	6.59186	4.8035	4.30847	3.59862	3.55704	3.01836	4.93806	4.21274	3.22436	2.65278	2.97388	3.03372	5.06089	3.78042	2.23403	3.99224	3.19921	3.499	4.87423	5.44482	5.85974	7.57051	0.813378
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	2.62957	1.79919	0.776482	0.530358	0.846248	1.01323	0.802505	1.35608	0.56785	1.9198	2.11302	1.7466	1.58952	2.21895	1.67159	1.19611	1.89715	2.29472	2.78158	2.24767	3.97945	2.77122	3.3557	2.81607	3.56163	3.36523	1.82274	1.13918	1.96529	1.69393	1.49839	2.28914	3.389	1.458	1.19515	1.18352	1.67397	1.65549	0.892812	0.616603	0.804684	1.79397	1.31774	1.31297	0.986931	2.01229	2.0881	0.296935
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	4.90631	4.86214	1.4108	0.707905	0.295614	0.0600288	0.964184	2.6166	2.94181	1.99842	0	0	3.68581	6.71189	2.38775	2.37551	3.40971	6.26113	5.76827	4.45601	5.50363	4.79175	4.68449	1.75213	2.81443	4.62568	3.03713	5.82097	7.78351	5.02358	3.54755	2.2784	4.42013	2.79271	3.13166	3.69111	0.930665	4.09829	3.06783	1.07972	2.17967	1.1345	2.1545	1.96121	4.96584	6.96035	9.1443	0.072473
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000354.2.0500ebd0-c650-482a-8d75-3cf5ca9c1882.fc.signal	7.71134	10.0694	7.0265	2.48812	2.03014	1.45609	1.45783	1.13892	0.786338	1.67677	1.01796	1.88958	4.84467	7.65911	5.67452	8.90834	11.3473	10.8732	10.3092	9.78124	5.93933	7.74414	12.7128	14.5858	13.435	12.3516	16.3483	14.7341	18.773	12.025	14.0078	16.3051	12.6979	7.48465	9.79518	7.44432	3.56364	1.95465	3.43285	2.24821	5.31515	5.10884	3.66682	6.24081	8.22465	10.431	9.83044	0.804487
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.e6af9ec0-8b4b-4624-8b3a-51f86f371f0f.fc.signal	6.92093	5.99275	5.23288	3.87074	2.96873	2.59216	3.92768	4.69813	4.2611	5.04848	4.40129	4.26348	4.97544	5.92513	6.96612	9.21674	8.67036	8.57661	10.2741	10.3082	10.656	10.8309	8.45666	10.1471	10.9121	12.43	14.5036	13.4191	13.1809	9.94217	8.73079	9.04095	7.854	6.98137	5.63446	4.80027	4.16658	3.95554	2.47221	2.13258	2.853	2.56752	6.25449	7.76142	9.51585	11.8704	9.586	0.231884
