	chr9:122167145-122167294	chr9:122167295-122167444	chr9:122167445-122167594	chr9:122167595-122167744	chr9:122167745-122167814	chr9:122167815-122167894	chr9:122167895-122168044	chr9:122168045-122168194	chr9:122168195-122168344	chr9:122168345-122168494	chr9:122168495-122168584	chr9:122168585-122168644	chr9:122168645-122168794	chr9:122168795-122168944	chr9:122168945-122169094	chr9:122169095-122169244	chr9:122169245-122169394	chr9:122169395-122169544	chr9:122169545-122169694	chr9:122169695-122169844	chr9:122169845-122169994	chr9:122169995-122170144	chr9:122170145-122170294	chr9:122170295-122170344	chr9:122170345-122170444	chr9:122170445-122170594	chr9:122170595-122170744	chr9:122170745-122170844	chr9:122170845-122170894	chr9:122170895-122170934	chr9:122170935-122171044	chr9:122171045-122171094	chr9:122171095-122171194	chr9:122171195-122171264	chr9:122171265-122171344	chr9:122171345-122171494	chr9:122171495-122171644	chr9:122171645-122171794	chr9:122171795-122171944	chr9:122171945-122172014	chr9:122172015-122172094	chr9:122172095-122172244	chr9:122172245-122172256	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.d29b7bc4-75ef-437b-ab43-12a3fcfc38d5.fc.signal	0.415071	1.54623	1.90834	1.52212	1.01156	0.79187	0.965382	0.404522	0.84207	1.76864	0.744544	0.995671	0.977761	1.10002	0.790223	0.597885	0.598403	0.676489	1.12832	0.811043	0.272693	0.183884	0.366929	0.31608	0.347688	0.565261	0.618895	0	0	0.213354	0.22528	0.19674	0.0300023	0.722496	1.82566	1.85331	1.39862	1.49255	0.908301	0.603598	1.65956	1.84815	1.1327	0.686486
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83e601b8-bef8-49e1-b42e-c29a56e1ac1c.fc.signal	0.566558	0.624371	0.763691	1.03846	0.972836	0.630506	0.462345	0.621368	0.870977	0.453982	0.157007	0.106096	0.151352	0.588814	0.400709	0.397259	0.430907	0.782043	0.529412	0.516576	0.836391	0.819003	0.898076	0.651632	0.482712	0.265529	0.184881	0.20271	0.124099	0.068699	0.12862	0.389696	0.604075	0.451201	0.33307	0.36465	0.931524	0.707124	0.410559	0.456376	0.338973	0.388706	0.531511	0.422764
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.8ee3bcc0-0a54-4209-87cf-967cca7d6071.fc.signal	0.128417	0.0715982	0.386028	0.713312	0.738118	0.699232	0.47461	0.386475	0.59092	0.79463	1.15614	1.14076	1.25401	0.711814	0.900451	0.663144	0.309152	0.74587	0.484997	0.606793	0.698175	0.383816	0.441426	0.254997	0.134212	0.0142107	0	0	0	0	0.192284	0.675964	0.614122	0.724385	0.429706	0.0783101	0.410636	1.04647	0.408159	0.362703	0.964098	1.14783	1.31689	0.314079
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.66fe7e60-cc70-422a-8d7c-594c9a55eec8.fc.signal	0.515868	0.227709	1.46845	1.19674	1.11976	1.97454	1.81172	0.385433	1.0081	1.53775	1.30525	3.13822	1.52644	0.519077	0.142351	0.807475	0.597157	1.04325	0.496184	0.49685	2.20488	2.02562	0.560723	0.752404	1.36963	0.318376	1.20347	1.47643	0.924418	0.0560875	0.0442145	0.307312	0.394868	1.40403	2.63083	1.54121	0.311447	0.905702	0.629901	0.823444	1.47037	0.562375	0	0.635359
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.f32467cb-d7e9-4f5b-9c6b-68e4e838bc49.fc.signal	0.206757	0.143106	0.38296	0.574991	0.746073	1.14429	1.18422	0.328247	0.0727926	0.537284	0.87427	0.809232	0.383788	1.26392	1.69671	2.06551	1.30131	2.26448	2.74735	1.26756	1.27254	1.00966	0.790397	1.27449	1.77373	1.8308	1.62327	0.913125	0.7569	0.609606	0.313578	0.318004	0.550246	1.09397	1.29308	1.70356	2.60323	1.62257	0.69526	0.767702	0.773343	0.557142	0.752522	0.673759
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.309e9998-5ade-4caa-9bdd-4c0118af9852.fc.signal	0.31528	0.569613	0.51026	0.317016	0.797206	0.893904	0.492175	0.0282663	0	0.0558407	0.106164	0.183399	0.275731	0.464802	0.445435	0.153459	0.00381993	0.111361	0.23863	0.227692	0.420194	0.955357	0.824338	0.223315	0.112505	0.247218	0.283309	0.136923	0.0306046	0	0	0	0.145474	0.321647	0.275329	0.175609	0.183083	0.118768	0	0	0	0.070446	0.403949	0.473282
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.102990be-2f15-4965-9094-d6b665cc5fb0.fc.signal	0.691713	0.353011	0.233703	0.775035	1.16198	1.53324	1.54625	1.44812	0.985049	0.86036	0.462467	0.467398	1.21652	1.65687	1.00111	0.946817	0.600392	0.530643	0.488049	0.71572	0.977295	1.54573	0.364283	0	0.2767	0.550666	0.961439	1.2967	1.0953	0.307897	0.231454	0.505221	0.746293	0.829338	0.427242	0.673606	0.745457	0.276149	0.525492	1.22163	1.34596	1.04438	0.839003	0.47619
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.f2c7bc19-404e-47af-b24f-cd6109044afb.fc.signal	0.176045	0.255215	0.641446	0.535849	0.318985	0.404232	0.333945	0.535807	0.981046	0.827478	0.376645	0.359808	0.437382	0.537274	1.26545	0.83311	0.665993	0.466439	0.627399	0.597407	0.393489	0.505692	0.508486	0.467742	0.659274	0.841884	0.966996	0.780031	0.679813	0.440695	0.330002	0.618905	1.16188	1.30023	1.02841	1.04286	0.841118	0.925935	0.579771	1.00831	1.29232	0.927713	0.58352	0.378601
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.f006c884-d6f7-470d-8586-314761e38a9f.fc.signal	0.33359	1.18937	0.775741	0.555042	0.597157	1.40653	0.723993	0.360333	1.3517	0.942155	0.327326	1.36976	2.073	1.29227	0.584115	0.15329	0.883784	0.465953	0.392397	0.641137	0.550086	0.824941	0.568096	0.52099	0.968404	0.862054	0.871751	0.169447	0	0	0	0.167209	0.480427	1.10941	1.28218	0.517772	0.618027	0.965408	0.494819	0.0689114	0.240163	1.1203	1.68811	0.603774
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001014.4.ab6bc5c7-ecc1-4ea6-b3f6-c6d3cd30e958.fc.signal	0.498675	0.314076	0.454483	0.0699127	0.0884141	0.403626	1.03544	0.38668	0.260737	0.312014	1.00287	1.33411	0.825699	0.481175	0.441703	0.611426	0.553139	0.543798	0.951639	0.703167	0.794209	0.603921	0.227364	0	0	0.0197069	0.603077	0.283044	0.179174	0.259673	0.129087	0	0.23124	0.349451	0.330055	0.215017	0.342756	0.0353551	0.125915	0	0.0731922	0.240907	0	0.659292
