	chr8:12426133-12426172	chr8:12426173-12426282	chr8:12426283-12426342	chr8:12426343-12426432	chr8:12426433-12426452	chr8:12426453-12426582	chr8:12426583-12426732	chr8:12426733-12426882	chr8:12426883-12427032	chr8:12427033-12427182	chr8:12427183-12427332	chr8:12427333-12427482	chr8:12427483-12427612	chr8:12427613-12427632	chr8:12427633-12427752	chr8:12427753-12427782	chr8:12427783-12427932	chr8:12427933-12428082	chr8:12428083-12428232	chr8:12428233-12428242	chr8:12428243-12428302	chr8:12428303-12428352	chr8:12428353-12428382	chr8:12428383-12428532	chr8:12428533-12428602	chr8:12428603-12428632	chr8:12428633-12428672	chr8:12428673-12428682	chr8:12428683-12428832	chr8:12428833-12428982	chr8:12428983-12429132	chr8:12429133-12429282	chr8:12429283-12429432	chr8:12429433-12429472	chr8:12429473-12429582	chr8:12429583-12429732	chr8:12429733-12429762	chr8:12429763-12429882	chr8:12429883-12429902	chr8:12429903-12430032	chr8:12430033-12430182	chr8:12430183-12430332	chr8:12430333-12430482	chr8:12430483-12430632	chr8:12430633-12430782	chr8:12430783-12430932	chr8:12430933-12431082	chr8:12431083-12431232	chr8:12431233-12431362	chr8:12431363-12431382	chr8:12431383-12431398	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000235.3.ae41c415-756f-48a0-be26-8a57c412db20.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45517	0.676542	1.24128	1.23714	0.727061	0.62069	0.0077585	0	0	0	0	0	0	0	0.299055	0.550344	0.610345	0.31034	0.294823	0	0	0	0	0	0	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0.47159	0.46513	0.267018	0.00574222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04522	0.273905	0.51681	0.449624	0.0572171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208556
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.d51ed427-007f-40d3-b98a-eaa67c358ae9.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0765132	0.178663	0.19315	0.805797
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001851.4.05b73e87-893b-4343-ab37-69c778c437f8.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15674
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000233.3.fb9aae7d-4076-4e4e-92a7-34572e1b705b.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.fc38d8a2-8f66-4203-ae35-4bfe2174aadb.fc.signal	0.121372	0.386694	0.577757	0.394475	0.293065	0.0811295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003715.2.f2f63871-d4ff-46d8-b566-9462262914af.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.422414
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004614.1.954b2eef-b887-4e5e-9bfd-a189bb44a099.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14775	0	0	0	0	3.44324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.0a4412db-98d2-49c5-9fe7-7e089d81032b.fc.signal	0	0	0.110407	0.725726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.844037
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003837.4.7a6d8040-3df1-443f-8bf8-8f3e00d9a3bc.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142472	0.349696	0.271988	0.06476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
