	chr1:99299224-99299373	chr1:99299374-99299523	chr1:99299524-99299673	chr1:99299674-99299823	chr1:99299824-99299973	chr1:99299974-99300123	chr1:99300124-99300273	chr1:99300274-99300403	chr1:99300404-99300423	chr1:99300424-99300573	chr1:99300574-99300723	chr1:99300724-99300873	chr1:99300874-99301023	chr1:99301024-99301173	chr1:99301174-99301213	chr1:99301214-99301323	chr1:99301324-99301383	chr1:99301384-99301473	chr1:99301474-99301623	chr1:99301624-99301773	chr1:99301774-99301923	chr1:99301924-99302073	chr1:99302074-99302223	chr1:99302224-99302373	chr1:99302374-99302453	chr1:99302454-99302523	chr1:99302524-99302673	chr1:99302674-99302823	chr1:99302824-99302903	chr1:99302904-99302973	chr1:99302974-99303123	chr1:99303124-99303273	chr1:99303274-99303423	chr1:99303424-99303573	chr1:99303574-99303723	chr1:99303724-99303783	chr1:99303784-99303873	chr1:99303874-99303933	chr1:99303934-99304023	chr1:99304024-99304173	chr1:99304174-99304323	chr1:99304324-99304397	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0.286027	0.738015	0.674235	0.544849	0.570722	0.646946	0.797283	0.335656	0	0	0.193258	0.402301	0.659818	0.452965	0.313914	0.359353	0.263214	0.425937	0.314264	0.183285	1.00469	0.600159	0.155131	0.827149	0.647787	0.0697544	0.171536	0.440979	0.303431	0.735372	0.486943	0.602781	0.414019	0.292968	0.814531	1.33525	1.06657	0.59194	0.151274	0.120387	0.705058	0.826957	0.676002
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.4a1ca7c4-2f79-45be-831a-730c86435275.fc.signal	0	0	0	0.13824	0.866386	0.655696	2.17639	0.566086	0	0	0	0.537157	1.20991	0.446468	0	0.932573	2.11832	2.17406	1.44398	0.19533	2.08176	0.799584	0.704583	0.523205	1.04641	0.0747436	0	0	0	0	1.34698	0.426	0.867159	1.20638	0.0408436	1.29018	3.80878	2.89032	0.544554	0.669676	1.68112	1.04641	0.223214
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.39496704-1279-499c-ac28-c72497e8030d.fc.signal	0.197638	0.25326	0.504324	0.529791	0.323658	0.532496	0.731027	0.476819	0.52205	0.269859	0.45985	1.00469	0.91272	0.152019	0	0	0	0.131762	0.548481	0.802169	0.46207	0	0.0606251	1.28354	1.41877	0.614124	0	0.232709	0.82667	1.31015	1.13692	1.89327	1.30699	0.846205	0.44864	0.189463	0.205821	0.206229	0	0.226406	0.775084	0.691425	0.647157
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.71f94e98-332b-4fcc-9a34-c0ad4b748586.fc.signal	0.178574	0.434324	0.340386	0.280984	0.355502	0.788232	0.413782	0.285486	0.14378	0.133015	0.483118	0.305098	0.177606	0.606046	0.673966	0.429338	0.272599	0.133818	0.497626	0.249305	0.00766827	0.215458	0.363297	0.686492	0.889929	0.688258	0.162992	0.0757241	0.221104	0.671834	1.31398	1.04944	0.86964	0.623212	0.284759	0.966901	1.32935	1.05005	0.311236	0.376689	0.879577	1.06893	0.410798
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0.845494	0.293422	0.47529	0.552776	0.404295	0.672711	0.554709	0.131189	0	0.443593	1.30322	0.404831	0.242896	0.322213	0.306854	0.37821	0.467283	0.24523	0.0159225	0.26132	0.399435	0.087856	0.688215	0.599498	0.54911	0.476204	0.277353	0.221363	0.550725	1.17758	1.88542	2.10402	1.80446	1.26062	0.512233	0.341724	0.589287	0.577747	0.384367	0.182534	0.376861	0.496994	0.367816
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.85fb694c-24ac-4a67-afb4-86273572ea8c.fc.signal	0.41884	0.535912	0.310551	0.402597	0.491781	0.525011	0.727965	0.735774	0.444184	0.290926	0.143486	0.0166911	0.241223	0.18105	0.200508	0.190021	0.251885	0.24015	0.275611	0.133703	0.192427	0.356676	0.488476	0.668811	0.701855	0.373097	0.185649	0.158215	0.458115	1.2338	1.37373	1.33147	0.987209	0.408987	0.460124	0.802423	0.894885	0.734894	0.531338	0.30681	0.449212	0.987141	0.71846
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d8e6c755-45ac-4108-b1ba-23233bd0ab31.fc.signal	0.245051	0.890854	0.384794	0.821526	1.08571	0.7085	0.178272	0.582266	0.324843	0	0.383006	0.745547	0.957589	0.455969	0.983236	1.38978	1.28252	0.760008	0.681701	0.713661	1.04584	0.640586	0.938395	1.72048	2.42837	1.20656	0.335156	1.1332	1.68864	1.71006	1.91297	1.59442	2.28862	2.08628	1.20928	0.921009	0.854157	0.882274	0.969831	1.01158	0.722175	0.286837	0.813033
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.e5051162-3534-4c21-b37a-9d70a53452b8.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0779653	0.26988	0.239294	0.26988	0.0377832	0	0	0	0	0	0	0	0	0	0.412023	0.762871	0.370639	0.181719	0	0	0	0	0	0	0	0.736317
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.1164241b-8ba2-45bf-987f-0243c87c0a1c.fc.signal	0.55851	0.546544	0.902876	0.558223	0.022842	0.116403	0.354153	0.262636	0.149394	0.330881	0.603791	1.31903	0.727894	0.297671	0.3264	0.26154	0.492581	0.595445	0.312044	0.474286	1.15988	0.659811	0.730619	1.541	1.69701	0.99316	0.365008	1.13181	1.78363	1.44857	0.988461	0.915405	1.48242	1.11158	0.144268	0.205539	0.626789	1.18544	1.45061	1.09525	0.0472512	0	0.670323
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.48a0264b-6e25-46c0-b33d-21ee41282ecb.fc.signal	0.77634	1.03187	0.71029	0.83589	0.292344	0.437434	0.265466	0.418062	0.227378	0.232791	0.594438	0.0757921	0	0.0103564	0.121915	0.187984	0.159493	0.0298074	0.192729	0.559789	0.770926	0.671314	0.213252	0.376798	0.367463	0.0974487	0.153748	0.0736259	0.233469	0.457078	0.665776	0.495463	0.366039	0.409283	0.907352	0.963653	0.546795	0.219257	0.328437	0.782834	1.35345	1.33882	0.346914
