	chr8:12426133-12426162	chr8:12426163-12426232	chr8:12426233-12426282	chr8:12426283-12426392	chr8:12426393-12426432	chr8:12426433-12426572	chr8:12426573-12426582	chr8:12426583-12426732	chr8:12426733-12426882	chr8:12426883-12427032	chr8:12427033-12427182	chr8:12427183-12427332	chr8:12427333-12427482	chr8:12427483-12427592	chr8:12427593-12427632	chr8:12427633-12427782	chr8:12427783-12427932	chr8:12427933-12428052	chr8:12428053-12428082	chr8:12428083-12428152	chr8:12428153-12428202	chr8:12428203-12428232	chr8:12428233-12428282	chr8:12428283-12428352	chr8:12428353-12428382	chr8:12428383-12428532	chr8:12428533-12428572	chr8:12428573-12428682	chr8:12428683-12428752	chr8:12428753-12428832	chr8:12428833-12428982	chr8:12428983-12429132	chr8:12429133-12429272	chr8:12429273-12429282	chr8:12429283-12429322	chr8:12429323-12429432	chr8:12429433-12429512	chr8:12429513-12429582	chr8:12429583-12429632	chr8:12429633-12429732	chr8:12429733-12429882	chr8:12429883-12429972	chr8:12429973-12430032	chr8:12430033-12430082	chr8:12430083-12430182	chr8:12430183-12430332	chr8:12430333-12430482	chr8:12430483-12430632	chr8:12430633-12430782	chr8:12430783-12430932	chr8:12430933-12431082	chr8:12431083-12431232	chr8:12431233-12431382	chr8:12431383-12431398	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38191
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0.83495	0.20942	0.280968	0.27486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21378	0.3054	0.3054	0.04072	0.042756	0.3054	0.3054	0.472456	0.458195	0.0999491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208556
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.f2b1cfa1-231f-48d8-af6a-ed3f48905f6f.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0789382	0.520318	0.625635	0.408994	0.0126678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.805797
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.440b0def-8afc-49ae-ab48-eb6e55baaba4.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.521789	0.495791	0.0184453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.844037
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.867f20aa-cd84-4630-be8b-4d90cccd43d7.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.341265	1.03337	0.476083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.578431
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001851.4.41736f40-6f67-4bdc-bc7e-afd139847fe8.fc.signal	0	0	0	0.173164	0.42329	0.408173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15674
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003695.3.976830f0-f131-4dc5-bdfd-64d83fdc4635.fc.signal	0.21093	0.247091	0.295306	0.187919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0180797	0.21093	0.174302	0	0.139981	0.21093	0.0448226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.258856
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001887.4.92e33eb4-60fb-4aba-99b3-db60d30e791f.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378788
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001015.4.9280a4bd-15d9-4bff-baed-11156e36abac.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0337015	0.502105	0.541775	0	0	0	0	0	0	0	0.0353063	0.679751	1.18657	0.231716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003696.3.61e7591e-7d42-4bac-a82f-41dc0577b027.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.400381	0.65695	1.03499	0.990846	0.183196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0467273	0.391209	0	0	0	0	0	0	0	0.300699
