	chr19:54925105-54925184	chr19:54925185-54925254	chr19:54925255-54925404	chr19:54925405-54925454	chr19:54925455-54925554	chr19:54925555-54925704	chr19:54925705-54925744	chr19:54925745-54925794	chr19:54925795-54925854	chr19:54925855-54925924	chr19:54925925-54926004	chr19:54926005-54926154	chr19:54926155-54926214	chr19:54926215-54926304	chr19:54926305-54926344	chr19:54926345-54926454	chr19:54926455-54926604	chr19:54926605-54926754	chr19:54926755-54926904	chr19:54926905-54926994	chr19:54926995-54927054	chr19:54927055-54927204	chr19:54927205-54927354	chr19:54927355-54927424	chr19:54927425-54927504	chr19:54927505-54927654	chr19:54927655-54927804	chr19:54927805-54927954	chr19:54927955-54928104	chr19:54928105-54928254	chr19:54928255-54928404	chr19:54928405-54928454	chr19:54928455-54928554	chr19:54928555-54928704	chr19:54928705-54928854	chr19:54928855-54929004	chr19:54929005-54929064	chr19:54929065-54929154	chr19:54929155-54929254	chr19:54929255-54929304	chr19:54929305-54929364	chr19:54929365-54929404	chr19:54929405-54929454	chr19:54929455-54929524	chr19:54929525-54929604	chr19:54929605-54929754	chr19:54929755-54929834	chr19:54929835-54929904	chr19:54929905-54929924	chr19:54929925-54930004	chr19:54930005-54930054	chr19:54930055-54930144	chr19:54930145-54930204	chr19:54930205-54930275	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.ed39a30d-e8d4-4be8-8a48-6338c0cdb04b.fc.signal	2.4322	1.19018	0.50513	1.08083	2.13686	1.40014	1.94596	1.18776	0.157028	0.42591	0.608553	0.012434	0.132617	0.300534	0.271505	0.290052	0.530715	0.0071664	0	0.0796257	1.06321	1.79067	0.549438	0.61431	1.44244	0.370366	1.84716	4.07866	1.47526	2.48682	2.58734	1.65258	3.16291	1.58196	0.364557	3.34843	2.57859	1.55518	1.10048	1.70272	1.28422	0.391414	0.687384	1.05487	1.81806	2.07175	1.9647	2.81064	1.82768	0.116461	0	0.027869	1.10496	2.06022	0.250907
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.1ec30665-e127-479e-9308-683342038ede.fc.signal	2.08196	1.25334	1.16896	1.61261	1.78057	1.25682	0.54912	0.294644	0.256282	0.245501	0.864156	0.944103	0.488826	0.37903	0.68233	1.72822	1.67418	1.41818	1.1462	0.679077	1.34165	2.65405	2.0347	1.17397	1.34953	2.31971	3.33623	2.83488	2.02773	1.13621	1.04496	1.00878	0.907386	1.18872	1.62244	1.84735	1.29971	1.77608	1.54851	1.11879	1.4709	1.00467	0.78564	0.570352	0.957807	2.21375	1.97229	0.996806	0.64605	0.594353	0.534903	0.739397	1.14141	1.63245	0.453608
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.58ebbf7c-ff66-46f2-b210-b717cb3c6af7.fc.signal	1.14565	0.513866	0.529738	0.188106	0.322752	0.5512	0.651285	0.439974	0.238793	0.043398	0.20078	0.456932	0.210649	0.700369	1.54878	1.58183	1.04766	1.47038	1.6257	1.07898	0.889993	1.53694	1.34978	1.11023	0.810444	0.803257	1.30595	1.38232	1.15075	1.42503	0.624253	0.833552	0.916489	1.22045	0.658992	0.653709	0.450548	0.207454	0.250377	0.138938	0	0	0	0.177819	0.428715	0.679237	0.980475	0.694662	0.43414	0.0994697	0.384956	0.575675	1.11956	1.14698	0.52381
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003836.3.9aa71da8-fe78-48e5-b5e7-94900a3e3afc.fc.signal	0.498111	0.528327	0.641367	0.560496	0.984431	1.21115	0.829334	0.639643	0.400606	0.452615	0.51519	0.964078	1.96821	1.83299	1.39046	0.937236	0.717102	0.356202	0.707838	0.588195	0.441983	0.466804	1.07929	1.25855	1.6686	2.11884	2.94251	2.05124	1.87715	2.17314	3.55169	4.30255	3.49576	4.28819	4.53299	4.5853	3.17495	2.23541	2.25042	2.5329	2.41541	1.71002	1.83481	1.71659	1.9586	2.03768	1.98518	0.940714	0.491642	0.0968279	0.166838	0.38958	1.20011	1.4507	0.557803
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003716.2.3596bec7-569c-4ea1-9600-217bd128de1a.fc.signal	0.194589	0	0	0	0	0.197261	0.40966	0.40966	0.0136553	0	0	0	0	0	0	0	0	0.223947	0.2813	0	0	0.261176	0.240334	0.184661	0.411098	0.641808	0.667644	0.259451	0.354527	0	0	0	0	0.500382	0.663566	0.143232	0.322575	0.816651	1.06921	1.42562	1.8981	1.77179	0.983184	0.924661	0.81932	0.563507	0.755493	0.40966	0.40966	0.0563283	0	0	0	0.0952069	0.228188
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.3b762a00-3a45-430b-9a03-047a2f48270c.fc.signal	0.884726	0.639794	0.797473	1.13372	2.18178	1.86435	0.623	0.322273	0.265964	0	0	0.351209	1.02889	0.633153	0.237034	0.375418	1.16252	0.362261	0.246166	0.586738	1.5248	1.24586	0.382454	0.277453	0.30338	0.204338	0.528801	0.474413	0.121519	0.78884	0.285567	0.19445	0.326328	0.30988	0.214637	0.603271	0.309152	0.16398	0.306415	0.982656	0.98912	0.197811	0	0.143075	1.18613	1.64414	0.637045	0.321514	0.11868	0.13841	0.446693	0.652315	0.465113	0.188997	0.478088
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003692.4.f878ad9b-d6d3-4a62-ad1c-aebee9337a47.fc.signal	0.675767	1.32131	0.596494	0.0712536	0.187775	0.249861	0.890014	0.562981	0.183723	0	0	0.101007	0.713168	2.01063	1.69049	0.915375	0.319564	0.748546	0.190643	0.446799	0.868902	0.437889	0.590777	0.697872	3.13153	2.61344	1.44676	1.43977	0.692585	0.936552	1.04931	0.93099	0.484755	1.8107	1.5482	1.57199	0.932912	0.908096	0.611125	2.15836	3.31178	1.76293	1.03834	2.6359	2.65223	1.22246	1.15058	1.60859	1.67562	1.36278	0.956249	0.208515	0.352499	0.90422	0.637255
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000332.2.c9c514ac-1a99-4191-b0b0-7e14f38ebc7a.fc.signal	0.780957	1.43718	1.32526	0.720417	0.738595	1.1407	0.755932	0.392809	0.114319	0.209338	0.31178	0.446828	0.31178	0.062356	0	0.235252	0.290995	0.883248	0.399013	0	0.103927	0.51031	0.565048	1.01089	1.95614	1.95562	1.15134	0.71808	0.451445	1.2204	1.98368	1.44444	0.540138	1.15015	0.945644	0.891431	1.24178	0.810495	0.330448	0.891552	0.9352	0.958583	1.19084	1.61653	1.95224	0.995456	0.0701505	0	0.233835	0.518248	0.62343	0.761995	1.34169	1.34674	0.529412
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.f92185be-1c43-4aca-8ad8-6624fd4fe491.fc.signal	2.58755	2.03635	1.48235	1.20224	1.65217	1.84184	0.88445	0.51061	0.291939	0.466124	0.994668	1.83039	1.50181	0.960476	0.93598	1.60893	2.43296	2.31531	2.10898	1.047	1.11444	1.5831	1.59149	1.73379	2.25122	2.43491	1.99449	2.22728	2.83872	1.93421	1.32665	1.52509	1.70713	2.83794	2.752	2.93655	1.97815	1.95101	1.88229	1.50677	1.2404	0.94742	0.659442	0.775246	1.53425	2.5433	1.60294	0.634585	0.314837	0.515193	1.18621	1.59207	1.9075	2.02364	0.373057
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003821.3.51d4846d-06bc-4866-a76b-054529993101.fc.signal	0.466166	0.205086	0.536098	0.46745	0.543544	0.169496	0.15312	0	0	0.00795429	0.598262	0.622096	0.68947	0.575071	0.46841	0.88771	1.11035	0.352713	0.377237	0.472051	1.23983	0.689688	0.314658	0.353561	0.403266	0.466909	0.94198	1.13517	0.772914	0.849946	0.960216	1.57687	1.57132	2.16927	2.25841	1.03189	1.26453	1.28499	0.737682	1.06154	1.28068	0.677748	0.244332	0.292077	0.504446	0.778682	0.978296	0.541651	0.352943	0.730576	0.868398	0.366105	0.671479	0.696287	0.730159
